aggregate_summary.csv

Trials with Mean Rock Displacement <= 0,None
Trials with Mean BBot Displacement <= 0,"12, 41, 48, 58, 73, 77, 85, 100"

Total Trials,100

,Mean of Pooled Rock Displacement (px),49.14
,SD of Above (px),68.61
,Mean of Intra-Run Rock Displacement (px),49.14
,SD of Above (px),25.54

,Mean of Pooled Bbot Displacements (px),79.35
,SD of Above (px),175.77
,Mean of Intra-Run Bbot Displacements (px),79.35
,SD of Above (px),58.54

,Mean of Pooled Bbot Stop Times (s),16.91
,SD of Above (s),18.09
,Mean of Intra-Run Stop Time Means (s),16.91
,SD of Above (s),14.16


Trial,Duration,Mean Rock Displacement,Rock Displacement SD,Mean BBot Displacement,BBot Displacement SD,Mean BBot Stop Time,BBot Stop SD
1,34.72,39.68,88.82,88.06,136.06,16.82,8.02
2,25.73,58.44,94.72,82.04,162.14,11.68,8.55
3,36.02,68.48,60.98,125.41,187.49,12.89,7.7
4,29.42,37.94,62.65,56.63,164.72,11.97,9.12
5,10.98,16.7,27.87,15.87,145.83,6.1,3.43
6,62.55,61.84,82.95,93.54,213.7,44.78,16.54
7,119.9,100.9,74.57,170.54,160.31,58.29,41.42
8,12.05,19.99,26.46,14.23,159.45,5.6,4.07
9,11.45,29.34,61.83,23.67,142.73,2.74,2.55
10,46.62,93.35,90.44,164.52,163.67,25.3,9.34
11,18.62,19.94,33.74,42.0,129.99,5.0,4.87
12,9.22,14.29,29.21,-16.57,131.36,2.92,2.92
13,32.1,38.08,58.48,68.1,175.08,9.73,8.76
14,34.15,32.73,44.25,31.66,168.81,13.52,9.56
15,11.8,63.12,58.94,28.79,156.15,3.89,2.83
16,51.53,71.39,72.91,166.9,227.32,29.36,9.73
17,11.77,22.2,40.45,11.05,166.54,4.13,3.03
18,91.83,55.29,67.38,151.86,191.99,31.88,31.11
19,39.12,38.75,87.05,48.28,195.03,18.85,12.03
20,8.68,34.71,36.54,31.78,152.77,2.85,1.88
21,31.32,24.54,29.81,67.75,181.9,7.94,7.5
22,64.82,78.49,109.19,162.49,181.76,43.77,16.56
23,19.13,14.57,20.8,63.31,161.35,4.33,3.93
24,48.73,63.95,65.3,133.05,173.61,28.68,13.2
25,40.02,61.25,81.29,161.31,174.64,25.65,9.62
26,23.7,25.48,40.91,71.98,183.47,8.95,6.76
27,44.9,43.79,56.37,158.39,144.93,20.92,16.72
28,34.05,38.7,59.36,49.16,179.05,15.86,12.92
29,14.53,30.8,45.26,32.02,176.21,6.23,3.74
30,19.53,18.11,45.63,31.8,161.64,9.29,6.12
31,19.17,18.11,38.05,30.65,157.47,5.53,5.26
32,54.88,71.08,73.8,161.63,164.69,20.19,10.4
33,52.68,51.44,65.23,217.11,173.46,26.35,13.95
34,53.0,65.99,76.89,52.29,208.54,30.84,12.37
35,22.52,74.7,82.81,102.63,153.75,11.41,6.14
36,49.58,92.37,99.78,118.75,168.77,24.49,11.64
37,14.98,30.68,35.51,64.84,181.82,7.33,4.54
38,22.9,35.82,51.42,118.32,184.59,6.29,4.32
39,34.17,77.81,107.94,71.07,198.49,17.27,11.37
40,53.35,82.49,80.31,127.74,178.82,30.9,11.31
41,14.32,28.7,47.12,-7.05,173.36,4.87,3.46
42,75.5,65.38,79.44,161.13,194.46,54.07,21.93
43,69.22,91.3,75.7,121.71,180.38,47.56,17.01
44,42.33,67.14,77.05,107.92,186.11,22.38,11.58
45,33.08,22.9,27.42,44.34,165.23,8.52,8.2
46,35.13,31.81,41.63,30.37,161.88,9.91,11.37
47,12.05,41.94,36.08,73.4,134.59,5.33,2.84
48,22.25,15.11,25.86,-28.17,146.85,6.97,6.51
49,45.2,41.45,77.05,53.91,145.72,18.46,13.91
50,15.17,14.94,33.86,9.21,151.88,4.65,5.27
51,98.17,59.26,87.89,136.69,199.61,48.79,23.64
52,9.75,8.68,38.38,26.3,176.17,3.62,2.61
53,21.27,30.25,37.46,2.07,152.82,4.92,4.45
54,33.32,33.47,39.29,59.25,155.24,8.21,6.55
55,14.2,37.66,34.55,36.6,158.24,6.42,3.92
56,40.55,70.72,76.97,192.01,162.02,19.8,10.37
57,34.5,34.93,59.35,44.88,160.23,8.12,9.2
58,15.33,38.79,41.37,-15.02,166.91,5.73,3.73
59,93.0,115.66,95.24,187.3,147.42,73.4,24.46
60,20.8,37.01,49.5,109.31,157.84,5.91,3.32
61,21.22,60.0,65.59,81.54,171.54,8.82,5.96
62,25.02,46.29,63.8,84.24,122.82,10.9,8.64
63,98.88,90.38,86.8,140.49,135.13,55.47,28.45
64,24.28,34.89,53.43,50.54,162.19,5.75,4.74
65,56.77,37.31,57.44,152.84,165.61,26.0,14.76
66,23.85,35.39,37.22,25.33,165.9,5.44,5.55
67,62.58,47.39,43.55,122.59,178.08,18.39,11.11
68,52.2,108.78,90.89,168.59,164.63,30.51,12.14
69,46.55,34.54,53.77,96.22,144.06,20.64,13.14
70,20.65,30.23,28.91,62.17,176.9,11.46,5.35
71,58.73,74.61,97.21,83.92,208.64,31.05,18.36
72,62.8,117.06,112.83,137.68,168.72,34.48,14.96
73,8.3,22.57,51.29,-18.01,152.9,2.4,2.05
74,25.03,64.9,83.08,93.33,173.02,13.09,8.39
75,26.37,25.33,40.05,34.14,188.74,5.89,6.44
76,31.05,82.85,75.83,112.73,175.14,22.15,7.0
77,12.5,12.01,27.07,-3.36,135.34,3.41,3.47
78,26.7,44.67,49.05,32.19,156.56,15.33,5.84
79,39.13,66.05,65.67,49.53,171.35,25.57,9.67
80,15.48,33.08,42.23,19.42,139.88,4.23,3.63
81,48.0,55.02,95.21,134.65,180.44,25.55,14.07
82,50.12,61.1,96.95,135.57,180.6,17.77,13.28
83,36.32,25.44,66.42,22.2,171.9,8.04,7.98
84,37.57,43.92,76.79,117.66,157.63,16.89,11.49
85,19.43,22.32,28.37,-67.91,151.67,5.15,4.77
86,32.23,65.78,96.62,65.87,147.15,16.7,10.01
87,33.87,53.1,89.05,2.79,150.15,8.63,8.95
88,20.12,50.7,48.92,80.28,179.91,5.69,4.3
89,32.48,100.22,99.03,133.9,144.05,19.48,6.9
90,33.55,31.38,47.2,76.92,169.37,9.36,6.72
91,38.92,59.93,64.74,101.91,183.29,19.0,9.72
92,45.98,93.67,71.62,134.97,176.86,19.63,12.39
93,51.12,62.68,64.88,131.76,181.4,36.64,15.59
94,37.2,80.6,78.85,116.62,190.41,15.31,6.68
95,49.55,71.47,90.84,187.07,169.59,31.01,14.45
96,30.55,52.63,63.78,88.48,171.58,21.05,7.51
97,27.5,25.4,51.54,63.42,129.43,4.88,5.12
98,15.8,22.1,37.49,63.67,133.43,6.02,4.5
99,27.47,38.32,36.84,84.62,172.94,7.9,6.92
100,16.55,25.41,29.95,-6.36,139.79,7.26,5.74
