--- TRIAL 1 ROCK DATA ---
Rock ID,Start Dist (px),End Dist (px),Net Displacement (px)
1,301.63,617.47,315.84
2,751.43,704.48,-46.95
3,456.71,470.78,14.07
4,545.3,597.84,52.54
5,422.23,447.65,25.42
6,588.24,580.85,-7.39
7,483.45,503.26,19.81
8,417.22,473.54,56.31
9,414.31,364.09,-50.22
10,428.44,553.36,124.92
11,319.26,422.98,103.71
12,505.28,581.99,76.72
13,441.71,408.16,-33.55
14,489.3,536.42,47.12
15,446.47,334.39,-112.08
16,552.27,540.8,-11.47
17,620.38,614.91,-5.47
18,446.07,470.03,23.96
19,447.22,528.25,81.03
20,382.53,501.82,119.29

--- TRIAL 1 BBOT DATA ---
BBot ID,Stop Time (sec),Start Dist (px),End Dist (px),Net Displacement (px)
1,22.83,176.69,527.69,351.01
2,24.17,473.93,536.36,62.43
3,6.93,517.96,727.04,209.09
4,26.05,349.55,439.81,90.26
5,26.73,221.12,448.03,226.91
6,15.37,476.09,498.94,22.85
7,12.38,276.87,364.95,88.08
8,26.33,515.25,513.57,-1.67
9,15.17,416.49,472.96,56.47
10,17.42,374.14,567.82,193.68
11,14.78,351.51,444.95,93.45
12,26.4,214.47,515.16,300.69
13,0.02,572.3,568.63,-3.67
14,21.68,522.73,448.44,-74.29
15,21.22,646.15,567.83,-78.32
16,15.32,402.65,518.23,115.58
17,22.68,344.36,394.99,50.63
18,15.72,664.84,501.47,-163.37
19,24.3,592.84,535.41,-57.42
20,4.92,648.51,765.24,116.73
21,11.92,117.13,570.76,453.63
22,19.85,534.22,534.2,-0.02
23,14.52,724.16,647.11,-77.05
24,14.42,516.18,646.78,130.6
25,17.87,682.28,567.87,-114.41
26,13.35,629.62,565.66,-63.95
27,20.07,433.86,560.21,126.35
28,14.53,457.02,472.0,14.98
29,9.9,432.49,547.05,114.56
30,26.62,524.24,517.42,-6.82
31,13.57,505.09,519.46,14.37
32,14.8,315.75,363.37,47.62
33,34.72,361.51,547.38,185.87
34,15.07,349.06,437.6,88.54
35,25.6,253.0,393.61,140.61
36,34.7,377.62,555.44,177.82
37,2.53,265.96,523.34,257.38
38,0.98,517.79,556.72,38.93
39,15.13,543.48,537.11,-6.36
40,14.97,163.5,399.68,236.18
41,22.8,502.72,487.79,-14.93
42,8.27,298.29,654.42,356.14
43,15.07,471.83,438.81,-33.02
44,4.57,722.91,763.5,40.6
45,17.15,123.65,366.81,243.17
46,21.25,373.24,728.32,355.08
47,4.23,763.35,653.42,-109.94
48,17.15,413.95,538.88,124.92
49,8.83,466.37,551.08,84.71
50,26.33,499.39,497.59,-1.8
