aggregate_summary.csv

Trials with Mean Rock Displacement <= 0,"123, 398, 493"
Trials with Mean BBot Displacement <= 0,"19, 33, 46, 48, 52, 72, 74, 76, 90, 109, 129, 139, 144, 148, 159, 160, 184, 196, 210, 228, 250, 252, 269, 283, 291, 299, 310, 331, 362, 365, 367, 395, 398, 417, 468, 473, 478, 483, 493, 502, 525, 528, 537, 546, 553, 557, 578, 584, 597, 604, 639, 641, 643, 645, 648, 649, 663, 672, 683, 702, 718, 728, 746, 761, 768, 810, 826, 849, 863, 870, 928, 932, 946, 965, 971, 988"

Total Trials,1000

,Mean of Pooled Rock Displacement (px),46.83
,SD of Above (px),64.03
,Mean of Intra-Run Rock Displacement (px),46.83
,SD of Above (px),25.03

,Mean of Pooled Bbot Displacements (px),71.22
,SD of Above (px),175.56
,Mean of Intra-Run Bbot Displacements (px),71.22
,SD of Above (px),54.6

,Mean of Pooled Bbot Stop Times (s),14.77
,SD of Above (s),15.88
,Mean of Intra-Run Stop Time Means (s),14.77
,SD of Above (s),12.21


Trial,Duration,Mean Rock Displacement,Rock Displacement SD,Mean BBot Displacement,BBot Displacement SD,Mean BBot Stop Time,BBot Stop SD
1,30.08,58.78,70.52,33.92,160.39,15.12,8.55
2,21.95,25.86,53.2,13.48,158.75,4.42,4.51
3,35.25,52.46,56.23,68.23,185.38,20.77,11.6
4,32.15,27.15,40.05,15.23,211.03,16.73,8.23
5,9.1,19.27,20.79,21.97,187.84,3.35,2.5
6,23.82,50.84,63.61,105.36,149.57,8.31,4.51
7,26.22,27.92,44.65,76.84,154.83,13.56,7.26
8,69.1,69.26,76.33,95.85,200.29,52.99,18.36
9,16.57,41.87,34.45,72.77,189.66,5.69,4.18
10,49.43,92.51,93.66,146.09,195.41,23.15,15.12
11,32.73,74.39,86.1,168.47,154.73,12.76,10.1
12,54.42,50.24,41.79,45.24,161.13,23.16,15.76
13,55.93,23.47,36.17,17.58,201.02,21.89,19.2
14,17.85,17.21,40.31,13.77,137.39,4.76,3.7
15,29.73,25.42,59.31,29.38,198.93,12.07,7.96
16,37.23,70.73,56.51,7.11,218.83,18.0,11.88
17,12.83,33.61,37.71,107.08,182.57,6.96,3.77
18,36.55,38.12,53.92,48.85,165.47,15.03,10.6
19,16.5,8.75,28.04,-29.83,139.65,4.1,4.52
20,70.72,94.94,101.77,176.55,206.06,49.77,17.31
21,44.05,62.3,43.49,80.99,179.48,11.38,12.12
22,22.4,17.54,35.7,39.2,191.26,8.17,6.59
23,21.7,17.65,35.9,106.23,145.45,6.21,4.62
24,21.0,47.69,66.18,44.63,202.92,10.5,5.93
25,43.52,58.64,84.59,108.53,205.4,15.84,9.5
26,20.8,28.41,54.01,21.3,158.33,5.38,4.96
27,40.57,48.51,60.75,72.51,136.87,13.59,13.6
28,6.63,19.73,36.45,12.68,143.49,2.63,1.46
29,82.92,106.76,94.64,153.42,178.31,49.71,23.04
30,30.1,70.72,75.38,36.38,132.27,13.48,12.84
31,27.92,30.51,44.62,59.79,176.54,8.52,6.11
32,36.8,36.48,41.23,56.35,172.76,15.04,11.05
33,14.7,15.32,37.03,-16.94,143.85,3.19,3.32
34,36.3,43.87,50.91,97.49,167.18,14.53,8.58
35,18.23,24.27,32.73,66.89,140.92,6.54,5.88
36,33.98,92.32,100.78,172.21,156.59,16.69,10.44
37,62.75,64.12,56.6,114.77,167.73,31.94,16.1
38,34.5,72.36,93.22,97.32,166.88,16.89,9.81
39,27.22,36.98,44.72,105.8,159.82,7.8,6.77
40,27.75,58.63,40.56,29.76,182.84,13.57,10.23
41,40.7,44.31,48.69,122.67,210.95,25.14,10.96
42,25.67,53.86,68.39,121.63,178.76,12.44,5.82
43,62.6,89.44,113.78,133.61,180.99,36.98,14.84
44,34.45,57.86,45.51,91.21,130.77,16.87,12.24
45,23.02,23.35,26.84,92.91,162.87,8.7,7.3
46,14.6,29.62,39.12,-16.23,185.61,5.17,3.9
47,38.27,42.4,52.24,92.67,151.61,19.86,11.0
48,12.18,19.79,39.08,-13.57,155.69,3.84,3.08
49,12.05,21.83,41.99,100.22,123.39,6.0,3.39
50,34.85,53.44,69.65,37.99,177.7,18.89,9.9
51,25.93,32.46,40.24,33.61,155.93,8.61,8.04
52,12.78,10.47,28.85,-24.16,149.47,2.6,2.54
53,49.13,42.29,50.67,125.04,230.96,24.65,10.85
54,42.62,73.03,78.9,72.47,181.88,18.49,13.25
55,38.87,64.41,73.94,85.48,192.61,19.69,7.9
56,68.93,50.47,41.23,53.2,152.79,30.37,22.83
