--- TRIAL 1 ROCK DATA ---
Rock ID,Start Dist (px),End Dist (px),Net Displacement (px)
1,637.78,619.11,-18.67
2,197.89,289.45,91.56
3,265.59,276.87,11.28
4,536.77,598.23,61.46
5,500.63,666.08,165.45
6,103.25,228.87,125.62
7,369.13,439.08,69.95
8,375.93,411.62,35.69
9,272.71,499.25,226.54
10,644.93,674.55,29.63
11,674.33,718.28,43.95
12,381.06,367.92,-13.15
13,224.72,253.3,28.58
14,667.72,677.41,9.68
15,509.61,546.01,36.39
16,62.97,263.2,200.23
17,388.19,454.49,66.3
18,373.75,364.64,-9.11
19,694.61,715.88,21.28
20,371.34,364.19,-7.15

--- TRIAL 1 BBOT DATA ---
BBot ID,Stop Time (sec),Start Dist (px),End Dist (px),Net Displacement (px)
1,16.88,308.36,620.84,312.48
2,27.33,294.44,337.59,43.15
3,10.92,164.83,398.01,233.19
4,5.07,229.57,290.16,60.59
5,18.47,171.5,256.53,85.03
6,10.48,403.74,634.34,230.6
7,13.75,452.68,457.78,5.11
8,2.43,581.35,696.16,114.81
9,21.63,462.37,270.56,-191.81
10,3.67,504.31,695.9,191.59
11,12.78,491.78,433.97,-57.81
12,19.88,525.75,282.31,-243.44
13,12.27,460.77,428.13,-32.65
14,4.23,612.97,633.32,20.35
15,21.83,450.81,282.5,-168.31
16,14.48,545.85,432.84,-113.01
17,29.92,416.14,288.35,-127.78
18,6.08,417.36,696.9,279.54
19,20.35,419.36,435.56,16.21
20,6.0,234.4,644.56,410.16
21,20.0,544.7,389.8,-154.9
22,3.83,530.71,471.25,-59.46
23,12.23,438.47,431.82,-6.65
24,17.1,406.52,298.33,-108.19
25,13.95,353.91,391.1,37.19
26,19.4,414.1,255.79,-158.32
27,3.72,311.5,410.22,98.72
28,18.03,256.97,304.7,47.73
29,15.13,550.57,433.16,-117.41
30,20.15,270.67,395.56,124.89
31,27.5,232.67,432.32,199.65
32,13.18,313.35,459.93,146.57
33,0.35,658.16,696.47,38.3
34,14.05,202.34,399.91,197.57
35,14.47,346.45,431.48,85.04
36,29.62,255.7,334.13,78.42
37,30.02,395.81,325.93,-69.88
38,0.68,407.51,406.37,-1.14
39,10.97,329.94,277.56,-52.37
40,30.08,468.11,574.86,106.75
41,21.6,343.03,431.35,88.32
42,30.08,432.7,451.93,19.23
43,13.97,582.38,401.21,-181.17
44,19.78,482.07,311.36,-170.71
45,20.33,473.81,459.17,-14.64
46,17.55,152.56,702.91,550.35
47,1.33,739.28,755.37,16.09
48,10.62,457.04,293.94,-163.1
49,4.07,599.06,659.99,60.93
50,23.48,440.94,430.9,-10.03
