aggregate_summary.csv

Trials with Mean Rock Displacement <= 0,0
Specific Rock Trial IDs,None

Trials with Mean BBot Displacement <= 0,14
Specific BBot Trial IDs,"3, 11, 14, 20, 26, 31, 37, 40, 43, 44, 52, 64, 83, 86"

Total Trials,100

,Mean of Pooled Rock Displacement (px),53.67409723666483
,SD of Above (px),71.14745419909646
,Mean of Intra-Run Rock Displacement (px),53.67409723666483
,SD of Above (px),24.441180838331782

,Mean of Pooled Bbot Displacements (px),62.43297291378789
,SD of Above (px),106.45356967824131
,Mean of Intra-Run Bbot Displacements (px),62.43297291378789
,SD of Above (px),47.88403816641287

,Mean of Pooled Bbot Stop Times (steps),3937.4908
,SD of Above (steps),4712.2869801012675
,Mean of Intra-Run Stop Time Means (steps),3937.4908
,SD of Above (steps),4693.484043690264

,Mean of Pooled Bbot Stop Times (s),65.62484666666667
,SD of Above (s),78.53811633502113
,Mean of Intra-Run Stop Time Means (s),65.62484666666667
,SD of Above (s),78.22473406150439


Trial,Duration (steps),Duration (s),Mean Rock Displacement,Rock Displacement SD,Mean BBot Displacement,BBot Displacement SD,Mean BBot Stop Time (steps),BBot Stop SD (steps),Mean BBot Stop Time (s),BBot Stop SD (s)
1,5134,85.56666666666666,84.32670620320094,88.85326716876065,114.62156431841683,106.08490703023324,4249.44,416.53674948732845,70.824,6.94227915812214
2,1367,22.783333333333335,83.13467822795012,58.1490174958424,65.40326876227554,83.65559026860367,895.76,389.59652389179683,14.929333333333334,6.493275398196614
3,422,7.033333333333333,13.635890900147437,46.58651267820121,-34.40281367441045,110.73520951710053,223.92,120.53381945600604,3.732,2.008896990933434
4,6398,106.63333333333334,83.07531497814887,86.09039485702746,98.26817874429081,94.04468266764687,5068.34,858.5216674431623,84.47233333333334,14.30869445738604
5,3322,55.36666666666667,66.5928350545368,73.78984668748431,88.36676315825915,94.72096390435667,1840.42,409.7156350844486,30.673666666666666,6.8285939180741435
6,5040,84.0,89.958846530996,61.82117460271135,101.93503411866625,95.64834570878145,3793.18,802.5064228873873,63.21966666666667,13.375107048123123
7,2800,46.666666666666664,42.39878761137165,71.90216937609851,100.41002972017331,94.40280506555892,1188.38,657.8350357693897,19.806333333333335,10.963917262823161
8,1057,17.616666666666667,18.699428088965508,30.04921337913018,20.01687551861317,91.80269367847535,415.5,269.1882165295639,6.925,4.486470275492731
9,18000,300.0,53.975595405270845,84.07286490528797,80.97689282325703,103.97359925844839,17406.36,581.1634621996795,290.106,9.686057703327988
10,4941,82.35,66.52339495670749,90.21999113984174,105.02394348985456,91.19679038042996,3644.24,1146.8163484808094,60.73733333333333,19.11360580801349
11,881,14.683333333333334,25.823374407424375,50.52411508089359,-19.157490842038563,119.60539214499941,365.9,257.52854012631656,6.098333333333334,4.2921423354386095
12,1899,31.65,37.18612169543519,46.68098421960473,55.70290801048791,91.15078434092672,836.8,605.8461446773497,13.946666666666667,10.097435744622496
13,627,10.45,33.06783541099158,46.27975585724318,45.257948003251194,98.92483040798292,206,180.5676988764907,3.433333333333333,3.0094616479415115
14,1325,22.083333333333332,21.19153917407914,59.51233903250827,-14.377095938086393,117.08691512237858,364.6,382.10710113094456,6.076666666666667,6.368451685515742
15,13943,232.38333333333333,69.52350741560933,98.8553638472939,107.31944737628184,87.16515526585042,12785.08,431.438544823227,213.08466666666666,7.190642413720449
16,3338,55.63333333333333,85.36129872400707,90.07844866852342,98.93324701407165,83.98287429341921,2236.48,681.1894830638056,37.27466666666667,11.353158051063426
17,7804,130.06666666666666,76.28061905878988,73.36222271097783,101.38745499693027,99.69660218363742,5072.44,1923.6387199518415,84.54066666666667,32.06064533253069
18,5320,88.66666666666667,56.60986891387878,72.1386233895671,96.31563017497176,86.24242362627477,3979.42,859.1921001137982,66.32366666666667,14.319868335229971
19,364,6.066666666666666,28.381355966776315,34.271813306970834,0.12875139834352978,75.25583341406839,172.96,100.85936055837801,2.8826666666666667,1.6809893426396336
20,1233,20.55,16.41183707440393,48.69927448016935,-65.8711641535294,101.56676529695372,543.48,330.31501600126865,9.058,5.505250266687811
21,1471,24.516666666666666,38.965662080309784,50.28922391266341,88.92687888502593,93.33971133115566,847.52,439.12344226996174,14.125333333333334,7.318724037832695
22,18000,300.0,74.7826270268575,84.14647256290003,80.12818935254768,112.56933290235679,17698.78,412.48630354503274,294.9796666666667,6.874771725750549
23,986,16.433333333333334,46.75520836938489,51.468084342332446,73.8671227916719,103.51027979336597,595.38,241.37885286877327,9.923,4.022980881146221
24,7826,130.43333333333334,78.4091378716748,88.70139765661962,88.33606234277381,91.0531068409038,6752.62,668.1624478633125,112.54366666666667,11.136040797721877
25,2789,46.483333333333334,62.28760737490609,49.11264992173214,95.68830482291473,107.97992378058024,1608.28,610.2392652200664,26.804666666666666,10.17065442033444
26,551,9.183333333333334,23.410802257540723,31.03408309223962,-8.008009441093249,104.84783150537355,165.04,129.85862956873288,2.7506666666666666,2.164310492812215
27,5727,95.45,66.16607446746299,83.12869206257658,78.53216301626438,95.92453898770174,4767.92,786.7751757286558,79.46533333333333,13.112919595477596
28,1036,17.266666666666666,40.339948898316315,47.399764244046594,41.25487388624648,89.44606619654468,385.14,306.6788528338891,6.419,5.111314213898151
29,1743,29.05,63.6701859658042,75.9605581620945,57.65351368895524,81.97586328714746,760.54,474.9417240298959,12.675666666666666,7.915695400498265
30,1381,23.016666666666666,41.414060418346146,39.58442925355919,58.636001184116516,93.79923187485892,629.56,405.5029207977548,10.492666666666667,6.758382013295913
31,453,7.55,4.234709870270275,28.474901892775712,-47.04033690177665,93.8875997476342,116.56,101.7714847196444,1.9426666666666668,1.6961914119940735
32,11768,196.13333333333333,41.03157716344004,90.50965796783832,129.04246646257653,82.69966987198819,10858,759.5695881113681,180.96666666666667,12.659493135189468
33,774,12.9,40.8207049456132,45.920173221358716,77.78893024915251,84.07826471799963,426,217.64547093934246,7.1,3.627424515655708
34,4734,78.9,64.55406247776709,60.89189077596762,63.9446640027555,91.14758931685544,3677.78,763.3246638547582,61.29633333333334,12.722077730912636
35,6698,111.63333333333334,62.4879873269339,75.98119647094322,112.15259606770128,90.03737829182795,5418.54,750.4715309560452,90.309,12.50785884926742
36,8916,148.6,84.44342607816527,62.64115976482414,130.69775909346674,99.19959851385421,7957.2,1306.4595872284854,132.62,21.77432645380809
37,1613,26.883333333333333,44.731184849034285,65.03067083233239,-37.45265073239414,120.34233546539362,725.3,396.12857374692817,12.088333333333333,6.602142895782136
38,18000,300.0,90.48891554449322,108.42522598704664,65.9190740530991,120.22080156152035,17562.42,1053.2507132197723,292.707,17.554178553662872
39,18000,300.0,91.55403801390747,64.59371484209412,115.7295484951667,108.91553238283903,17338.8,604.688416982377,288.98,10.078140283039616
40,1207,20.116666666666667,2.4184468913918074,27.417602848268878,-22.23910089095893,82.12219713890016,296.02,312.29476460549256,4.933666666666666,5.204912743424876
41,4963,82.71666666666667,79.72036874693521,83.93351209251796,122.25710143510216,89.81534658199138,3994.32,615.2710847708529,66.572,10.254518079514215
42,3859,64.31666666666666,79.86121968287432,76.89301279857732,84.32402465542032,112.20014931493438,2751.34,556.5913977790464,45.855666666666664,9.27652329631744
43,655,10.916666666666666,17.928407666322542,37.98997533274254,-57.18142827364363,85.7871576620773,256.72,202.22033245235963,4.278666666666667,3.370338874205994
44,990,16.5,12.194112034083151,28.258571208379777,-27.338639634516177,86.09998606683533,237.38,299.6065372164919,3.9563333333333333,4.993442286941532
45,2504,41.733333333333334,38.485135487006715,46.71826101587745,76.05191967438263,101.98558811530029,1704.34,528.8830976883343,28.40566666666667,8.814718294805571
46,10541,175.68333333333334,65.71299008072066,95.88163282719009,96.67908620685445,94.02386395382243,9434.96,930.106400759985,157.24933333333334,15.501773345999752
47,1399,23.316666666666666,66.47555056451164,52.95556253729111,39.540764658763024,97.21551571030625,1015.96,198.35249595873813,16.932666666666666,3.3058749326456356
48,11202,186.7,74.97214268843959,98.22311986362433,57.042323512990905,95.04458017814652,9802.2,744.4601385965427,163.37,12.407668976609045
49,3159,52.65,64.55190877492522,58.3997311102601,39.15351389808366,94.58301894068454,2105.04,732.5527900459335,35.084,12.209213167432226
50,1078,17.966666666666665,53.40477867656616,77.48204778736856,49.79127889467816,120.1677309280666,650.38,322.61532600208034,10.839666666666666,5.3769221000346725
51,6061,101.01666666666667,87.04710049580915,78.10004153963737,113.00124224647357,95.02265346286549,4988.2,580.9262484364508,83.13666666666667,9.682104140607514
52,399,6.65,14.234458172687816,30.715220939671553,-42.48677806544287,66.0600856066891,111.38,99.38317724025202,1.8563333333333334,1.6563862873375337
53,5812,96.86666666666666,62.276967458251,78.78523184027047,110.14048989797095,77.16399817506974,4611.88,525.8963830587597,76.86466666666666,8.764939717645994
54,572,9.533333333333333,18.401331734172484,30.32778880524831,5.431395043269938,71.60071879160057,151.72,155.72896916352684,2.5286666666666666,2.5954828193921142
55,3167,52.78333333333333,72.91674116522914,65.25933440721259,87.41288409183836,92.87860086466404,2817.58,348.4620489979314,46.959666666666664,5.80770081663219
56,4703,78.38333333333334,77.08326792464621,60.12237827160499,98.16198982063182,87.13204647041859,3981.86,521.2229344022946,66.36433333333333,8.687048906704911
57,12829,213.81666666666666,84.9546506769276,84.72252554577814,118.09098980279035,104.40627308095864,11343.9,614.528830628368,189.065,10.242147177139467
58,7535,125.58333333333333,26.506010616171917,87.16827057071383,106.765401993762,108.42409300006467,4876.98,2200.7732452805894,81.283,36.67955408800982
59,1773,29.55,39.758956136827074,57.263958532733845,61.829016870443326,93.28380841484814,1072.78,476.1341043299907,17.879666666666665,7.935568405499845
60,1488,24.8,53.651701744014616,46.33242209123264,45.957326361537774,74.57721010597159,1102.68,309.39529170724666,18.378,5.1565881951207775
61,12730,212.16666666666666,80.09611634317554,113.55621938958359,105.76579678333296,92.84936050791251,12033.4,908.4689295283397,200.55666666666667,15.141148825472325
62,4887,81.45,61.92662745954005,82.62010418041115,103.6262734501566,113.10374828343637,3697,734.2388812191012,61.61666666666667,12.237314686985021
63,18000,300.0,74.42735124484287,94.25890822115602,58.2047154897744,124.26004434072198,17939.44,119.51486287897247,298.99066666666664,1.9919143813162095
64,899,14.983333333333333,25.786702677587932,51.1926809913498,-11.313284730354571,91.53965971797899,378.92,226.36063334098228,6.315333333333333,3.7726772223497047
65,3837,63.95,93.94654355563178,62.999401365272504,106.1990721543781,96.78385694176012,2160.28,878.7783505456624,36.004666666666665,14.646305842427706
66,1207,20.116666666666667,36.27861790064893,51.029420571267096,25.625501092408346,90.2137515263032,564.2,279.6789704833244,9.403333333333334,4.6613161747220735
