aggregate_summary.csv

Trials with Mean Rock Displacement <= 0,24
Specific Rock Trial IDs,"2, 4, 6, 12, 13, 15, 19, 23, 28, 40, 41, 44, 46, 55, 59, 61, 68, 75, 78, 80, 81, 87, 94, 98"

Trials with Mean BBot Displacement <= 0,44
Specific BBot Trial IDs,"2, 4, 5, 7, 9, 13, 15, 19, 20, 23, 24, 26, 27, 33, 34, 36, 37, 39, 40, 41, 43, 44, 46, 54, 55, 56, 57, 59, 68, 70, 71, 77, 78, 79, 80, 81, 83, 85, 87, 89, 94, 95, 98, 100"

Total Trials,100

,Mean of Pooled Rock Displacement (px),18.77691777851437
,SD of Above (px),58.95264628722976
,Mean of Intra-Run Rock Displacement (px),18.77691777851437
,SD of Above (px),22.99507007093726

,Mean of Pooled Bbot Displacements (px),6.543454452610668
,SD of Above (px),103.17126654390371
,Mean of Intra-Run Bbot Displacements (px),6.543454452610668
,SD of Above (px),30.573380997536038

,Mean of Pooled Bbot Stop Times (steps),569.4594
,SD of Above (steps),718.1674529312296
,Mean of Intra-Run Stop Time Means (steps),569.4594
,SD of Above (steps),634.3538287709817

,Mean of Pooled Bbot Stop Times (s),9.49099
,SD of Above (s),11.969457548853828
,Mean of Intra-Run Stop Time Means (s),9.49099
,SD of Above (s),10.572563812849696


Trial,Duration (steps),Duration (s),Mean Rock Displacement,Rock Displacement SD,Mean BBot Displacement,BBot Displacement SD,Mean BBot Stop Time (steps),BBot Stop SD (steps),Mean BBot Stop Time (s),BBot Stop SD (s)
1,773,12.883333333333333,6.326112331915943,50.56438094602822,11.32125177737633,102.62018082379454,274.96,196.43183997280593,4.582666666666666,3.2738639995467658
2,241,4.016666666666667,-11.14923518665152,36.619448681250255,-11.203237725839017,104.54579862499556,125.26,69.56653253526146,2.087666666666667,1.1594422089210243
3,2104,35.06666666666667,48.58009387677159,52.4015245127635,46.58004709272085,88.92457025452777,1090.68,525.0488972370058,18.178,8.750814953950098
4,399,6.65,-22.52577873097664,38.10203462201518,-31.33207484394225,86.62549873056723,151.5,103.35420570414487,2.525,1.7225700950690814
5,707,11.783333333333333,8.420695521966508,47.46976824667573,-45.885387841787015,113.1569905964383,301.94,186.06542737786117,5.032333333333334,3.101090456297686
6,1042,17.366666666666667,-4.340424616043228,53.67192845965472,1.9035259990257276,110.58567334041967,448,324.36997017452217,7.466666666666667,5.4061661695753696
7,895,14.916666666666666,17.496983197074538,51.09407872176919,-12.35111825372383,93.61261393096227,284.02,255.80608807039278,4.733666666666666,4.263434801173213
8,525,8.75,19.216994172907402,36.68910559278715,6.030290239946081,98.18935061895986,228.76,129.477530948069,3.812666666666667,2.157958849134483
9,1153,19.216666666666665,16.509259070828882,70.91956724840662,-13.32477521532289,91.349811638956,434.16,279.5876964388812,7.236,4.659794940648021
10,1977,32.95,36.06236885682123,62.233367383517844,80.00644459107627,101.44154124655817,1278.04,327.9235202025631,21.300666666666668,5.465392003376052
11,594,9.9,17.541884690521304,37.2179892622471,10.526266847980624,96.57382524942342,268.36,169.25849811360573,4.472666666666667,2.8209749685600953
12,893,14.883333333333333,-0.7936533714813692,55.76711766487605,10.096849039483988,93.33615242541917,431.62,277.7603496482799,7.193666666666667,4.629339160804665
13,778,12.966666666666667,-1.5696748872452913,59.69192764491272,-23.40192451795057,103.15160968299631,184.1,162.92132194055247,3.0683333333333334,2.7153553656758747
14,678,11.3,0.7247745379474921,71.85077426577263,4.120295087453623,98.66638988986246,283.9,170.99376405863103,4.7316666666666665,2.8498960676438503
15,455,7.583333333333333,-1.3773787478068633,29.117535947090005,-10.419912253643272,81.38607866493403,126.2,111.47050493017315,2.1033333333333335,1.857841748836219
