aggregate_summary.csv

Trials with Mean Rock Displacement <= 0,1
Specific Rock Trial IDs,58

Trials with Mean BBot Displacement <= 0,36
Specific BBot Trial IDs,"1, 3, 5, 6, 8, 13, 14, 20, 22, 25, 30, 32, 36, 37, 40, 41, 42, 43, 44, 45, 48, 49, 58, 62, 67, 68, 70, 71, 74, 78, 84, 91, 93, 94, 95, 98"

Total Trials,100

,Mean of Pooled Rock Displacement (px),39.35839759151205
,SD of Above (px),58.1724123813252
,Mean of Intra-Run Rock Displacement (px),39.35839759151205
,SD of Above (px),22.622311345968058

,Mean of Pooled Bbot Displacements (px),24.332574026745263
,SD of Above (px),173.84679132728627
,Mean of Intra-Run Bbot Displacements (px),24.332574026745263
,SD of Above (px),48.2668491591528

,Mean of Pooled Bbot Stop Times (steps),644.1298
,SD of Above (steps),881.9334266631315
,Mean of Intra-Run Stop Time Means (steps),644.1298
,SD of Above (steps),812.4888135285621

,Mean of Pooled Bbot Stop Times (s),10.735496666666666
,SD of Above (s),14.698890444385526
,Mean of Intra-Run Stop Time Means (s),10.735496666666666
,SD of Above (s),13.541480225476034


Trial,Duration (steps),Duration (s),Mean Rock Displacement,Rock Displacement SD,Mean BBot Displacement,BBot Displacement SD,Mean BBot Stop Time (steps),BBot Stop SD (steps),Mean BBot Stop Time (s),BBot Stop SD (s)
1,649,10.816666666666666,16.60966574289625,33.94746384812347,-27.41050191951059,144.3577587729088,204.38,156.49110165743988,3.4063333333333334,2.608185027623998
2,1280,21.333333333333332,33.20832774171613,48.868168362433984,50.51730177908117,132.3313168273228,357.82,413.11359756100495,5.963666666666667,6.885226626016748
3,421,7.016666666666667,11.889758113384044,27.597054662968624,-1.694249924861895,154.44925660257158,173.6,108.46479726112965,2.8933333333333335,1.8077466210188275
4,1810,30.166666666666668,94.7175545185055,64.39505130752538,89.7973112251669,173.51977673646292,957.12,475.8443683150436,15.952,7.930739471917393
5,562,9.366666666666667,19.58844539647329,29.643817404875175,-36.173625245488765,157.73168946220952,198.08,143.86967458539038,3.3013333333333335,2.3978279097565065
6,1668,27.8,44.87622605446843,65.37261098763756,-28.503873852974948,165.19123574198943,453.5,332.87573522568573,7.558333333333334,5.547928920428095
7,758,12.633333333333333,34.08825703787409,44.46764979767302,19.157195091331346,174.69753367784563,353.74,210.34508187592064,5.895666666666666,3.505751364598677
8,659,10.983333333333333,13.689835397412997,30.79815600405904,-42.00534091294186,148.12265623584818,230.12,172.68759571632734,3.8353333333333333,2.8781265952721222
9,1404,23.4,53.09097288529406,52.44441765259661,57.45282825214109,169.09647437362852,523.18,332.21020453923444,8.719666666666667,5.536836742320574
10,2009,33.483333333333334,59.24823710517549,52.046424553623275,128.73542608307514,162.07952458630896,792.32,648.3244476246095,13.205333333333334,10.805407460410159
11,954,15.9,46.07438495397191,51.78368733453699,34.45697860125965,185.5688577948122,400.54,252.22885704560179,6.675666666666666,4.2038142840933626
12,1416,23.6,49.869504654257724,55.274911932221244,10.670647001044463,225.97780025366765,1085.1,267.77886475254775,18.085,4.462981079209129
13,1646,27.433333333333334,47.8317007325123,43.26638201257561,-2.764322629334907,183.76727828544654,625.34,404.0080121452433,10.422333333333333,6.733466869087388
14,436,7.266666666666667,15.608241232393945,23.165583382811214,-12.177895991309148,125.1458508541267,152.06,93.83885666613891,2.534333333333333,1.5639809444356485
