aggregate_summary.csv

Target Mean Stop Time (steps),800.5618
Target SD of Stop Times (steps),648.0343713923037

Trials with Mean Rock Displacement <= 0,52
Specific Rock Trial IDs,"4, 5, 6, 7, 8, 10, 11, 14, 16, 17, 23, 28, 29, 30, 34, 35, 36, 39, 40, 42, 44, 47, 48, 49, 50, 51, 53, 55, 56, 58, 59, 61, 65, 66, 67, 73, 76, 78, 81, 83, 85, 87, 88, 89, 90, 91, 92, 94, 95, 96, 98, 100"

Trials with Mean BBot Displacement <= 0,32
Specific BBot Trial IDs,"1, 10, 12, 18, 19, 20, 21, 29, 35, 39, 47, 50, 60, 62, 63, 65, 67, 68, 72, 73, 75, 76, 77, 79, 80, 89, 90, 96, 97, 98, 99, 100"

Total Trials,100

,Mean of Pooled Rock Displacement (px),-1.6089462492684246
,SD of Above (px),108.81644623122736
,Mean of Intra-Run Rock Displacement (px),-1.6089462492684246
,SD of Above (px),23.75556783048976

,Mean of Pooled Bbot Displacements (px),18.06283704059948
,SD of Above (px),238.05681243831788
,Mean of Intra-Run Bbot Displacements (px),18.06283704059948
,SD of Above (px),34.026519090718

,Mean of Pooled Bbot Stop Times (steps),931.4252
,SD of Above (steps),543.9490848658037
,Mean of Intra-Run Stop Time Means (steps),931.4252
,SD of Above (steps),75.14355455305989

,Mean of Pooled Bbot Stop Times (s),15.523753333333334
,SD of Above (s),9.065818081096728
,Mean of Intra-Run Stop Time Means (s),15.523753333333334
,SD of Above (s),1.2523925758843315


Trial,Duration (steps),Duration (s),Mean Rock Displacement,Rock Displacement SD,Mean BBot Displacement,BBot Displacement SD,Mean BBot Stop Time (steps),BBot Stop SD (steps),Mean BBot Stop Time (s),BBot Stop SD (s)
1,2595,43.25,15.098144371184526,94.15331493194991,-16.41194116401595,209.54914466058375,939.72,603.914781121594,15.662,10.065246352026568
2,2714,45.233333333333334,13.732068274511056,115.65735559396407,15.981852385566455,267.805686264564,966.5,584.0283488366794,16.108333333333334,9.733805813944656
3,2150,35.833333333333336,21.05893508519961,106.73659361720254,19.857614599976447,248.42354350738017,854.42,528.6963207663135,14.240333333333334,8.811605346105226
4,2442,40.7,-6.122679732809411,113.70246481846915,0.9824210330391244,228.38898427926011,906.88,580.6359862869581,15.114666666666666,9.677266438115968
5,2940,49.0,-40.341232657073476,107.95981679365143,36.862110173291775,254.63989985619483,999.64,607.8090046408073,16.660666666666668,10.130150077346789
6,1948,32.46666666666667,-54.027234487534976,102.86906502626113,8.888964987743055,243.88595671786547,1009.9,514.1861510768096,16.831666666666667,8.569769184613493
7,2003,33.38333333333333,-13.692403613426276,121.35550388493522,100.40349470643159,185.65654625503387,937.56,532.4905732613911,15.626,8.874842887689852
8,2375,39.583333333333336,-10.194327476784313,117.14290950956182,65.60642439043127,252.18952962400243,1092.28,474.5627865386696,18.204666666666668,7.909379775644495
9,1887,31.45,3.1482156937263754,88.1714161169948,86.88148688654675,241.28361662257248,839.54,516.1026717186243,13.992333333333333,8.601711195310404
10,2423,40.38333333333333,-3.3809701497467017,107.37519778219544,-37.75412774120212,231.67208838768184,903.22,622.2110111923282,15.053666666666667,10.370183519872137
11,1811,30.183333333333334,-12.5641060204155,119.50880764765229,16.006640142245733,243.75534702126373,857.2,491.73744446169064,14.286666666666667,8.195624074361511
12,2082,34.7,16.584340889568523,131.62478106536665,-17.5527714145235,241.10937665282043,973.98,547.4709754677336,16.233,9.12451625779556
13,2016,33.6,21.17874481602044,95.01114003395051,35.58195167303201,255.2238367636617,963,486.6992953371031,16.05,8.111654922285052
14,2536,42.266666666666666,-42.30052977729222,137.58795181615264,7.5621966673826515,215.84784457285264,877.76,560.7339417846825,14.629333333333333,9.345565696411375
15,2078,34.63333333333333,8.954109190642345,111.81089380386479,1.3089958528360262,201.07037112350704,785.5,454.13466716202953,13.091666666666667,7.568911119367159
16,2340,39.0,-5.415786749491675,127.51571034111863,17.15869404213042,232.32646329838377,978.8,579.4876695700034,16.313333333333333,9.658127826166723
17,2183,36.38333333333333,-19.35031616636223,93.58046884532429,11.199045410967045,168.62213613652705,915.16,507.63394170948635,15.252666666666666,8.460565695158106
18,2094,34.9,33.084501180273556,106.01657732529011,-21.419317460313763,242.36525391092837,812.96,524.5785464814315,13.549333333333333,8.742975774690526
19,1940,32.333333333333336,30.111109626683977,103.90166606120667,-29.84570500135038,220.83161605577482,993.28,467.85598865724586,16.554666666666666,7.7975998109540985
20,2802,46.7,44.266570424643554,74.04079059120261,-15.302665807693309,244.31867381522778,1025.46,604.8969623845377,17.091,10.081616039742295
21,2069,34.483333333333334,9.162502687216413,116.58119702887167,-33.057635134776866,260.0098153155848,890.22,520.295218003732,14.837,8.671586966728867
22,2481,41.35,0.23087244564845405,95.23471664609238,14.77079396587228,290.7378087256592,1084.22,501.279761801568,18.070333333333334,8.354662696692799
23,2505,41.75,-15.57843247312298,111.57215866162011,53.35705480396991,240.6719416102474,1015.24,636.210931521736,16.920666666666666,10.603515525362267
24,2080,34.666666666666664,7.099048403930269,128.75382382237632,35.608719896082434,215.30188159194512,926.88,457.4856589700548,15.448,7.624760982834247
25,2378,39.63333333333333,7.110311571044917,141.30194117987705,27.307530932978946,237.1341101319469,978.88,636.3850599203251,16.314666666666668,10.606417665338753
26,2360,39.333333333333336,0.3708951583259477,87.22081094602595,12.581731417790309,232.47734122763265,926.78,573.4777290482044,15.446333333333333,9.557962150803405
27,2242,37.36666666666667,17.3344460564583,93.50623144534083,22.971106373897413,241.9579367139271,1041.1,549.9760013317093,17.351666666666667,9.166266688861821
28,1923,32.05,-7.164604368987246,104.64001216190866,88.32376686926335,246.91866752309457,927.68,535.1521790050729,15.461333333333334,8.91920298341788
29,2186,36.43333333333333,-14.083571675557616,110.68804445072146,-36.88369520122928,236.23959258873356,1012.26,642.3224700337083,16.871,10.705374500561804
30,2288,38.13333333333333,-6.097086559884046,129.67922372456115,23.26735486443887,234.04537458228387,943.28,567.8410254675878,15.721333333333334,9.464017091126463
31,2216,36.93333333333333,2.6078940893129454,123.4186580703906,69.4171294679208,250.36190488177652,970.8,500.09452167789726,16.18,8.334908694631622
32,2494,41.56666666666667,41.688969458182925,111.13262128676509,21.300420557134892,243.63115970702367,852.32,552.8575651530317,14.205333333333334,9.214292752550529
33,2547,42.45,21.761880676752043,88.8513947896813,2.9600447846564606,282.8164255827088,910.58,584.1488519414293,15.176333333333334,9.735814199023821
34,2431,40.516666666666666,-4.819145179126986,95.4362056220117,67.05736473041968,228.72229705223262,961.42,577.2051978353653,16.023666666666667,9.620086630589423
35,2408,40.13333333333333,-11.324272557707165,90.09883322977515,-2.394074747895465,242.8708664864712,897.5,490.0011765916736,14.958333333333334,8.166686276527892
36,2249,37.483333333333334,-0.8126002941906798,105.48853844836691,55.53896518733927,201.88758772168165,923.42,508.26459805169696,15.390333333333333,8.471076634194949
37,2163,36.05,33.31516168645196,110.75350811344602,50.3482824451803,242.0951626896775,1003.5,506.47740042657097,16.725,8.441290007109517
38,2193,36.55,33.20041099681523,75.27916918688749,21.09906168427333,258.70048283356357,969.38,557.5369628087085,16.156333333333333,9.292282713478475
39,2273,37.88333333333333,-20.50311876360104,120.33387656302959,-54.61838227265874,241.95275521409772,854.12,547.2736374846812,14.235333333333333,9.121227291411355
40,2734,45.56666666666667,-0.9180237813609239,131.19310002783857,1.156621808966961,258.2572587749269,972.04,648.6641519621817,16.200666666666667,10.811069199369696
41,2166,36.1,19.66609311062898,102.36563739303027,75.04214242269262,271.125151707885,843.62,562.5939156065865,14.060333333333334,9.376565260109777
42,2182,36.36666666666667,-12.187911571560385,179.7734463968397,42.39427171614398,256.6856946151467,1002.62,503.101194429843,16.710333333333335,8.38501990716405
43,2954,49.233333333333334,13.063763588633668,89.78315946213469,22.975005777997403,239.74519068511364,971.96,592.4185971808399,16.199333333333332,9.873643286347333
44,2185,36.416666666666664,-17.994733972582235,139.16621874283408,27.980300326817517,212.1381455795473,934.5,481.2948627379677,15.575,8.021581045632795
45,1804,30.066666666666666,16.90465689658726,101.4726791627485,31.477810300473774,242.5459182650155,844.26,498.34431216718804,14.071,8.3057385361198
46,1947,32.45,5.994906793327805,123.96492216992532,16.858660791573644,253.26426208646077,893.48,485.9960628042417,14.891333333333334,8.099934380070696
47,2024,33.733333333333334,-0.6071258513077211,115.20451174940266,-18.513499039336008,232.05052313272688,946.26,499.9443973165048,15.771,8.332406621941747
48,1946,32.43333333333333,-50.309157888121014,107.19767564339779,2.4646354679241376,227.84297666577325,994.8,533.2845470883864,16.58,8.88807578480644
49,2498,41.63333333333333,-16.341327101720978,80.10340863735277,105.76666605220137,254.83014116956025,869.34,505.5933111963909,14.489,8.426555186606516
50,2665,44.416666666666664,-32.159552535449784,77.23473325094906,-16.363320463241493,251.58908036826818,1093.98,556.0005318599717,18.233,9.266675530999528
51,2364,39.4,-0.6995442425102354,95.66700456829128,35.3249128953531,215.5510966624857,1068.46,636.9049911526067,17.807666666666666,10.61508318587678
52,2039,33.983333333333334,7.120084568332237,129.0396972035322,53.433462029931746,242.42447398638643,785.32,475.140513695793,13.088666666666667,7.9190085615965495
53,2567,42.78333333333333,-3.757036181700907,97.11969317550351,5.964215211926915,231.8540253397532,976.38,632.2053040987653,16.273,10.536755068312754
54,2750,45.833333333333336,25.808348420584043,113.67895400009292,28.11071355706742,188.69153453606043,1052.86,621.465844859177,17.547666666666668,10.357764080986284
55,2514,41.9,-55.66173186991556,141.59793836046344,27.107332127869007,235.1791826956182,1008,551.9085623764953,16.8,9.198476039608256
56,2245,37.416666666666664,-7.095236556758404,82.99565511265023,34.32962654555817,217.57582615681136,1020.7,565.2150123661629,17.011666666666667,9.420250206102715
57,1995,33.25,10.308186145318558,112.82585563695865,48.48216924792721,265.14032114072813,971.06,606.6240273944355,16.184333333333335,10.110400456573926
58,1916,31.933333333333334,-9.035025081302013,87.16201808313886,3.667992270535186,249.99691875357811,975.14,520.177207246507,16.252333333333333,8.669620120775116
59,2082,34.7,-26.30797527568212,108.75003755054034,49.88791621108159,216.02897248987557,790.14,522.8318108617527,13.169,8.713863514362545
60,2274,37.9,8.380629096790576,97.35345253098191,-41.864569779838284,279.9568498845478,979.76,582.5932021433767,16.329333333333334,9.709886702389612
61,1841,30.683333333333334,-20.494958822345346,116.59372239541156,63.0606659555939,189.79121378041935,770.56,513.3611594189806,12.842666666666666,8.556019323649677
62,2246,37.43333333333333,2.0391351545580845,107.41983452795587,-4.3084759561747745,261.6863774355952,879.36,498.71413266765256,14.656,8.311902211127544
63,2413,40.21666666666667,8.089732762809316,118.32465629916892,-2.2868559147460163,186.83191878627042,872.02,626.466524017274,14.533666666666667,10.441108733621233
64,1956,32.6,9.077736272829439,99.99806499073705,35.2153373460984,233.8151191295947,849.06,501.5276422275918,14.151,8.35879403712653
65,2450,40.833333333333336,-21.740392325416174,92.34053848875902,-13.619210397274534,235.36660226830674,931.24,526.1633780568192,15.520666666666667,8.769389634280321
66,2088,34.8,-19.505992181333408,79.4722173303017,38.851512315768744,282.0393337676248,830.58,519.0654903432766,13.843,8.651091505721276
67,2192,36.53333333333333,-7.023391106486965,78.98948643335164,-31.243327274269348,226.39758594963723,1046,534.33934031872,17.433333333333334,8.905655671978668
68,2002,33.36666666666667,4.722914280900271,122.29774261057072,-22.324957552755457,239.52632495148396,859.32,514.530633744216,14.322000000000001,8.575510562403599
69,2459,40.983333333333334,17.207409547546227,85.30537855828067,51.58515749648748,207.53850549094528,923.96,550.0283465793525,15.399333333333333,9.167139109655876
70,2267,37.78333333333333,25.291242871042556,126.99636575960758,71.1678252140277,217.04355489800685,945.68,481.014380539412,15.761333333333333,8.016906342323534
71,2085,34.75,45.26003030851731,131.9516682521741,54.02899885699623,241.88467711625435,1070.74,594.8121229704831,17.845666666666666,9.913535382841385
72,1876,31.266666666666666,14.50953029478746,140.1146368907496,-4.723993713002454,210.96955419510832,896.62,483.1386284346495,14.943666666666667,8.052310473910826
73,2090,34.833333333333336,-12.460995541139724,87.1904640199045,-4.036456996203592,272.2206646831706,920.8,525.0898465394047,15.346666666666668,8.75149744232341
74,1910,31.833333333333332,2.8393440078583376,97.22592379334883,29.38602935996129,242.3784652433269,831.74,458.1355208998797,13.862333333333334,7.635592014997995
75,1789,29.816666666666666,32.360366922752114,116.2557042094281,-26.895179252776334,208.39832123551204,956.44,496.6615962851263,15.940666666666667,8.277693271418773
76,2337,38.95,-9.02006450910195,103.72415680628679,-28.655478271506343,239.30585543221807,878.34,583.5222958858714,14.639,9.725371598097857
77,2200,36.666666666666664,3.2357885136822895,81.98987510670501,-3.7777807869528464,196.08630064087677,890.3,520.2049144916111,14.838333333333333,8.67008190819352
78,2312,38.53333333333333,-11.077394058730416,107.03076982617185,43.58858902161619,234.48000946183683,982.4,555.6878069343525,16.373333333333335,9.261463448905875
79,1734,28.9,15.610901115389478,112.54920126196681,-40.046534654390044,212.86050602816331,791.06,461.1670382224397,13.184333333333333,7.686117303707328
80,1992,33.2,26.94181759878181,85.21375606463677,-2.061114038844056,241.1476471668815,992.78,566.0747873717387,16.546333333333333,9.434579789528978
81,2269,37.81666666666667,-9.848334279326924,148.0609265139491,60.15200811935359,241.82731058835276,874.78,559.6392529740813,14.579666666666666,9.327320882901354
82,2449,40.81666666666667,14.78119459774656,104.02214336630438,42.74521398447696,225.65921810798122,900.1,622.1498687484178,15.001666666666667,10.369164479140297
83,2215,36.916666666666664,-27.516818525877486,90.55528858647209,50.66719125185912,252.89441106032737,929.36,505.3843055799523,15.489333333333333,8.423071759665872
84,2073,34.55,48.69894897338278,104.19244299029221,60.46911303920106,222.73734194639144,821.58,582.9537066368415,13.693,9.715895110614026
85,2773,46.21666666666667,-19.34945583053288,101.11971645093928,62.20311295511154,237.7846679648674,925.94,591.186334450329,15.432333333333334,9.853105574172151
86,2155,35.916666666666664,3.235447549493384,95.40509425561365,13.195807726931298,210.5333633333541,1002.72,552.946247525979,16.712,9.215770792099649
87,1993,33.21666666666667,-64.4346182212367,115.74980769140727,18.309287460308383,254.29997980942284,971.42,488.4915594700377,16.190333333333335,8.141525991167295
88,2221,37.016666666666666,-53.19532468560646,137.2388128036505,41.66476332084745,244.9489061616542,1032.14,555.2133625545982,17.202333333333332,9.253556042576637
89,2276,37.93333333333333,-46.28610512269651,95.90122429015467,-19.179699256197182,251.68080999669127,885.08,572.3792748569032,14.751333333333333,9.539654580948385
90,2686,44.766666666666666,-21.861827337585698,95.05810086508343,-19.906671313600263,237.7061944212012,997.32,665.7244769299634,16.622,11.095407948832724
91,1666,27.766666666666666,-3.005136312129403,123.74395210752824,38.99449840607875,209.20216577860288,830.72,472.69293825648697,13.845333333333333,7.8782156376081165
92,2342,39.03333333333333,-0.5365248024040653,90.2641475077354,7.497653803655646,267.5745065617014,967,592.2109731630223,16.116666666666667,9.87018288605037
93,2932,48.86666666666667,8.707171746927788,99.7590558961695,13.076935578610481,238.84136142168515,957.52,608.3257465187143,15.958666666666666,10.138762441978571
94,1978,32.96666666666667,-48.88224140832235,104.31443459200969,14.18886073627384,236.3631809154053,918.38,490.0894499778503,15.306333333333333,8.168157499630839
95,2087,34.78333333333333,-5.399325635646193,107.38647893949695,20.667270055439708,240.18264216867954,923.04,524.8009519652888,15.384,8.746682532754814
96,1983,33.05,-11.078249291425088,92.52329727289664,-0.5788392688724975,226.92772558984646,873.66,486.3075624603451,14.561,8.105126041005752
97,2396,39.93333333333333,11.84731070126487,111.88741162416837,-22.97688119555672,229.3339895231185,890.14,480.539790448285,14.835666666666667,8.008996507471416
98,1759,29.316666666666666,-43.329626666879605,123.08461232069219,-14.524336237551227,278.49146424047046,775.62,450.94381250973646,12.927,7.515730208495607
99,2402,40.03333333333333,44.06969900909722,98.82825658514635,-13.957566243761388,271.8333731362313,913.3,510.8395350912504,15.221666666666666,8.513992251520841
100,2229,37.15,-10.872571281696072,78.26986537016298,-9.962740087120077,234.1506689308801,916.68,535.3108743944008,15.278,8.921847906573348
