aggregate_summary.csv

Trials with Mean Rock Displacement <= 0,0
Specific Rock Trial IDs,None

Trials with Mean BBot Displacement <= 0,8
Specific BBot Trial IDs,"9, 10, 15, 17, 21, 73, 86, 100"

Total Trials,100

,Mean of Pooled Rock Displacement (px),51.635955434957054
,SD of Above (px),67.87013312407446
,Mean of Intra-Run Rock Displacement (px),51.635955434957054
,SD of Above (px),27.77440895564142

,Mean of Pooled Bbot Displacements (px),76.67952643951405
,SD of Above (px),175.61944596331452
,Mean of Intra-Run Bbot Displacements (px),76.67952643951405
,SD of Above (px),52.95331662762939

,Mean of Pooled Bbot Stop Times (steps),1006.7042
,SD of Above (steps),1089.2602647151036
,Mean of Intra-Run Stop Time Means (steps),1006.7042
,SD of Above (steps),856.7077250073285

,Mean of Pooled Bbot Stop Times (s),16.778403333333333
,SD of Above (s),18.154337745251727
,Mean of Intra-Run Stop Time Means (s),16.778403333333333
,SD of Above (s),14.278462083455475


Trial,Duration (steps),Duration (s),Mean Rock Displacement,Rock Displacement SD,Mean BBot Displacement,BBot Displacement SD,Mean BBot Stop Time (steps),BBot Stop SD (steps),Mean BBot Stop Time (s),BBot Stop SD (s)
1,4001,66.68333333333334,58.0940754882545,75.067206484623,119.63070428249857,175.68944009573437,1034.68,1053.2015222789094,17.244666666666667,17.553358704648492
2,1532,25.533333333333335,49.69747195615688,63.369126600998435,131.29513759203067,149.93886953185586,950.32,584.0468753902046,15.838666666666667,9.734114589836745
3,503,8.383333333333333,18.858201218932223,41.69053418687148,11.729281322065274,140.67667770639153,112.54,108.77916404630183,1.8756666666666666,1.8129860674383638
4,1768,29.466666666666665,45.913461087363125,43.977638041344235,150.16940526878324,190.91550974752778,780.66,388.1857124456525,13.011,6.469761874094208
5,1565,26.083333333333332,27.340030873855273,37.76281682689264,74.59015385020412,167.37243195309642,565.08,482.87082989899784,9.418,8.047847164983297
6,1150,19.166666666666668,30.22372463735645,34.62498404881099,101.80062153744625,155.18313329605687,346.14,256.42511020346103,5.769,4.273751836724351
7,1407,23.45,29.426156235287767,34.728849845019475,15.781560220421085,186.85638754630932,545.42,416.16627809135156,9.090333333333334,6.93610463485586
8,3796,63.266666666666666,94.74913437409917,85.84624704541503,159.0300169693104,201.94853023671993,2470.72,799.7870900356888,41.178666666666665,13.329784833928148
9,3447,57.45,47.526022389277706,41.008002574182505,-27.333360184019238,198.04179762501133,2057.74,838.3777048075451,34.29566666666667,13.97296174679242
10,1001,16.683333333333334,20.77745152089775,36.38293122641334,-4.964566552928917,132.71365015246877,206.38,276.4871396057092,3.4396666666666667,4.608118993428487
11,2711,45.18333333333333,63.403558486347954,66.99448440761468,162.3548064555934,181.82528135228523,1334.44,724.888820750451,22.240666666666666,12.08148034584085
12,3545,59.083333333333336,62.78120315585055,98.11835774285005,89.18694277104267,175.8476954642098,1984.84,1177.849672678382,33.080666666666666,19.630827877973033
13,1005,16.75,36.40886341702923,28.685014418515443,84.12994473108556,155.33108081807865,400.64,319.1182852799256,6.677333333333333,5.31863808799876
14,1387,23.116666666666667,18.545608622650278,29.999619895699173,21.642263636834787,151.70761803719122,315.72,335.84392876721165,5.2620000000000005,5.59739881278686
15,1399,23.316666666666666,13.209062219698875,28.87272945974703,-28.89343626968557,157.28225414328108,239.24,272.18867705760164,3.9873333333333334,4.536477950960028
16,1608,26.8,54.11457933440283,85.91898260834206,41.10174402910325,181.04037830119003,592.5,569.6350872734765,9.875,9.49391812122461
