Trial,Mean Rock Displacement (px),Stop Time (Steps)
1,80.82484797552027,140
2,37.107007987017184,142
3,127.96728009339049,140
4,74.87972595591728,139
5,99.44532851039932,142
6,88.8867081344329,137
7,94.20183393827031,141
8,97.76128888202027,141
9,82.39932008107529,139
10,58.90114515799563,141
11,52.672293891571144,140
12,123.54780906685441,141
13,96.89862363085163,140
14,6.886654923416799,143
15,57.329832533801834,141
16,58.2143618581581,140
17,114.4368953445468,137
18,65.94650365785091,139
19,131.15494523251465,140
20,97.61665958397361,141
21,65.66784529580906,142
22,132.81232094743103,140
23,46.81756567614546,141
24,115.53613024615738,141
25,90.33783723078284,140
26,38.472565535566886,141
27,90.7347124213951,139
28,61.711030693837074,140
29,80.0381598546272,140
30,9.588893395960612,141
31,71.53790387258589,141
32,100.23459861173245,141
33,38.62554298392141,141
34,32.30253155497096,142
35,132.97630225002567,142
36,107.69223113599062,140
37,57.74933032910392,138
38,115.11168525804585,136
39,117.73594559624595,141
40,91.89834672982651,141
41,73.08059158263427,140
42,49.82800345872327,141
43,70.9586399803406,142
44,48.76021596330149,140
45,69.16083765615544,140
46,62.051683730485124,142
47,90.73595285318042,142
48,116.96654417935824,138
49,48.48192317305747,139
50,101.42201389675313,140
51,53.25599418562933,141
52,102.00782902866051,142
53,96.43639907387512,140
54,113.87896676673886,140
55,91.32836701919037,139
56,18.61169290443211,141
57,69.32673214675329,139
58,49.820031202622715,140
59,82.98810168351075,138
60,29.512094498065238,142
61,74.69042748436276,141
62,37.937661853041206,139
63,119.24440756550402,140
64,118.73395250195115,140
65,98.49382584919687,139
66,132.6819913516578,141
67,74.3250270658269,138
68,92.34396746286343,139
69,25.602778221334376,142
70,57.74248153039898,141
71,71.84666369341082,140
72,82.20246612303924,138
73,104.74375917352441,142
74,54.157627244372954,139
75,41.367039434530454,141
76,67.34128391465798,142
77,93.60937391869264,139
78,78.45103935158814,139
79,103.68796300663162,138
80,136.51752667244176,138
81,91.7121013439313,140
82,38.068676857888846,140
83,135.3612750817648,136
84,68.10763828459476,141
85,69.90329125956967,141
86,108.38848135365393,137
87,161.69078038824836,139
88,53.446406516368405,141
89,132.24562653969298,141
90,89.14863371086435,140
91,100.89955796735076,139
92,72.3975055042259,140
93,82.90438939160789,139
94,80.43201478960403,142
95,94.32065146077342,140
96,120.9365120334847,139
97,63.39829865252564,142
98,58.46770464180345,140
99,98.61532793091689,141
100,73.14274664895729,140

Overall Mean Displacement,81.42582044820064
Overall Mean Stop Time,140.12
