aggregate_summary.csv

Number of Trials with Mean Rock Displacement <= 0,0
Specific Trials with Mean Rock Displacement <= 0,None

Number of Trials with Mean BBot Displacement <= 0,12
Specific Trials with Mean BBot Displacement <= 0,"4, 8, 9, 11, 12, 15, 19, 34, 37, 82, 86, 93"

Total Trials,100

,Mean of Pooled Rock Displacement (px),45.86
,SD of Above (px),64.17
,Mean of Intra-Run Rock Displacement (px),45.86
,SD of Above (px),24.36

,Mean of Pooled Bbot Displacements (px),66.5
,SD of Above (px),176.88
,Mean of Intra-Run Bbot Displacements (px),66.5
,SD of Above (px),58.0

,Mean of Pooled Bbot Stop Times (s),13.4
,SD of Above (s),13.77
,Mean of Intra-Run Stop Time Means (s),13.4
,SD of Above (s),10.39


Trial,Duration,Mean Rock Displacement,Rock Displacement SD,Mean BBot Displacement,BBot Displacement SD,Mean BBot Stop Time,BBot Stop SD
1,22.88,20.72,35.66,5.65,166.66,7.71,5.96
2,50.97,79.29,91.06,83.7,183.48,30.92,14.04
3,34.15,50.84,63.59,39.1,150.55,20.79,11.66
4,5.38,6.19,20.1,-35.85,113.7,1.87,1.35
5,32.37,35.34,43.46,13.33,172.76,12.0,9.61
6,12.3,37.36,70.53,17.57,204.23,5.88,3.68
7,17.1,34.09,52.23,21.01,181.29,6.94,3.77
8,16.03,25.59,43.11,-19.26,140.96,5.47,5.31
9,14.05,13.0,30.84,-25.49,174.85,4.34,4.24
10,32.6,70.64,90.06,89.46,144.74,14.17,9.48
11,15.87,10.34,35.74,-9.22,138.87,3.22,3.09
12,10.62,16.43,39.68,-22.35,127.99,3.74,2.81
13,17.52,27.9,41.74,77.0,173.33,9.04,4.27
14,14.55,33.82,53.59,32.96,162.26,4.55,4.13
15,9.43,29.59,57.13,-21.07,171.92,3.6,2.3
16,32.55,66.5,61.17,137.3,151.83,17.33,9.45
17,37.08,46.76,57.32,106.24,192.48,13.87,9.14
18,25.1,21.59,34.17,39.23,152.8,8.89,7.05
19,14.15,11.55,19.51,-23.2,147.93,3.28,3.45
20,58.05,78.22,94.12,138.3,201.48,27.19,16.35
21,35.47,69.16,64.76,96.66,149.72,14.61,7.21
22,17.68,24.45,56.54,49.33,167.13,4.73,4.63
23,26.77,40.04,51.21,84.59,185.97,11.58,7.97
24,40.07,110.84,112.57,108.12,174.86,21.66,9.4
25,39.97,69.86,77.24,83.96,196.39,28.8,10.93
26,23.3,55.52,67.74,59.21,177.46,8.02,5.59
27,19.02,30.15,43.52,45.87,152.72,4.56,4.3
28,40.42,33.9,54.52,152.88,179.08,17.72,9.65
29,8.18,40.44,33.99,20.26,176.05,3.86,2.29
30,30.53,24.55,45.55,5.16,188.02,4.89,4.62
31,27.97,63.5,66.93,109.85,182.76,16.35,7.47
32,52.2,83.4,69.09,143.54,185.84,24.15,11.47
33,13.33,24.56,35.11,29.77,175.44,4.56,3.85
34,15.17,7.36,15.62,-25.23,163.37,3.6,2.97
35,15.02,34.8,53.75,66.5,165.34,7.33,3.51
36,37.35,51.8,60.06,91.03,155.93,10.02,9.06
37,16.3,36.95,53.57,-29.03,182.3,6.04,4.29
38,73.78,69.68,71.82,151.22,177.82,38.79,16.86
39,10.53,9.73,20.57,22.17,135.64,3.19,3.21
40,31.35,17.85,30.31,58.4,138.45,5.93,8.31
41,38.85,50.1,69.05,107.7,142.6,12.72,7.88
42,18.23,50.58,72.78,57.71,192.43,7.22,5.48
43,86.72,80.34,87.97,184.96,164.66,44.37,22.29
44,32.83,101.72,87.39,202.18,179.67,17.8,6.52
45,30.37,39.59,43.86,84.9,157.66,12.22,7.89
46,46.05,71.99,88.42,145.95,162.45,25.22,12.42
47,21.6,36.82,58.43,102.75,186.07,11.48,5.82
48,23.28,23.43,47.73,11.84,134.4,5.28,4.85
49,41.68,71.15,82.37,87.67,196.51,29.11,8.18
50,41.12,32.52,63.49,39.02,177.99,10.39,8.1
51,19.77,36.02,55.13,24.57,203.87,7.54,5.53
52,63.05,95.14,106.72,141.7,186.42,37.79,16.78
53,20.43,44.09,60.45,144.57,206.46,10.79,5.78
54,14.0,35.12,61.12,29.87,168.81,4.32,4.16
55,22.33,33.06,44.9,63.45,186.8,10.07,5.51
56,24.03,17.9,37.46,8.23,144.42,6.65,6.05
57,16.92,21.01,34.61,51.21,177.93,7.93,4.16
58,18.45,23.93,50.52,60.68,140.24,7.03,5.05
59,32.97,26.94,35.16,14.7,164.42,8.19,6.66
60,46.02,46.71,74.88,134.4,192.85,20.86,10.45
61,54.18,66.15,82.96,95.52,187.07,24.43,10.27
62,26.28,64.21,48.33,137.11,191.32,12.51,7.52
63,15.37,51.94,67.49,62.57,166.16,4.81,3.61
64,40.08,13.97,32.76,55.48,180.07,13.31,9.5
65,18.63,26.87,39.1,19.27,149.56,9.59,6.18
66,48.65,73.69,59.58,160.38,177.88,23.66,15.79
67,18.47,28.65,50.11,8.79,213.41,7.25,4.86
68,18.93,66.54,75.2,81.29,157.46,8.07,4.93
69,66.12,83.73,103.03,131.59,164.61,25.55,17.56
