--- TRIAL 1 ROCK DATA ---
Rock ID,Start Dist (px),End Dist (px),Net Displacement (px)
1,264.25,314.58,50.32
2,347.76,462.94,115.18
3,319.2,308.1,-11.1
4,300.17,311.19,11.02
5,444.56,437.04,-7.52
6,559.17,565.24,6.07
7,416.12,438.85,22.73
8,482.78,529.16,46.38
9,104.64,124.5,19.87
10,557.23,645.4,88.17
11,561.75,577.15,15.4
12,211.81,265.42,53.61
13,615.59,599.04,-16.55
14,334.57,360.15,25.58
15,731.15,745.4,14.25
16,705.03,701.89,-3.14
17,266.7,243.12,-23.59
18,538.36,531.95,-6.41
19,333.28,360.68,27.4
20,547.02,533.7,-13.32

--- TRIAL 1 BBOT DATA ---
BBot ID,Stop Time (sec),Start Dist (px),End Dist (px),Net Displacement (px)
1,10.08,500.57,331.44,-169.14
2,8.32,407.47,158.63,-248.84
3,2.43,596.28,598.51,2.22
4,21.1,262.44,179.7,-82.74
5,6.78,442.25,340.06,-102.2
6,15.07,158.35,184.98,26.62
7,10.42,675.47,598.58,-76.9
8,13.87,363.09,590.22,227.13
9,4.58,694.11,769.14,75.03
10,8.87,558.7,570.08,11.38
11,9.77,447.09,349.35,-97.74
12,6.08,493.08,265.54,-227.54
13,8.17,413.14,543.59,130.45
14,5.72,455.25,572.72,117.47
15,6.47,219.15,400.02,180.87
16,2.7,431.85,566.46,134.61
17,6.05,339.53,621.19,281.66
18,6.32,361.08,291.94,-69.14
19,10.58,204.02,502.69,298.68
20,21.1,497.73,150.78,-346.94
21,6.43,585.72,652.45,66.73
22,13.1,628.22,496.84,-131.38
23,2.32,387.57,403.15,15.58
24,1.75,566.92,572.84,5.92
25,0.6,563.58,495.83,-67.76
26,8.05,479.54,597.47,117.93
27,0.6,459.23,399.62,-59.61
28,3.6,374.48,736.75,362.27
29,6.82,112.87,368.85,255.98
30,0.48,577.51,560.8,-16.71
31,10.18,625.81,304.15,-321.65
32,22.88,101.93,326.49,224.57
33,10.0,335.4,342.38,6.98
34,3.7,498.21,409.51,-88.71
35,0.87,532.7,479.8,-52.9
36,6.0,515.76,379.56,-136.2
37,17.75,494.02,350.98,-143.04
38,1.97,725.92,786.54,60.61
39,10.15,528.38,348.56,-179.82
40,17.83,474.3,337.44,-136.86
41,0.22,183.03,157.65,-25.37
42,3.88,640.97,794.71,153.74
43,17.6,517.0,268.6,-248.4
44,6.55,636.7,643.15,6.45
45,0.8,722.7,732.76,10.05
46,2.37,630.78,565.5,-65.28
47,1.55,569.56,741.17,171.61
48,7.67,516.71,575.8,59.09
49,14.17,268.46,630.65,362.19
50,1.1,594.7,606.0,11.3
