aggregate_summary.csv

Trials with Mean Rock Displacement <= 0,45
Specific Rock Trial IDs,"1, 2, 3, 5, 6, 7, 8, 9, 12, 13, 15, 18, 19, 21, 22, 27, 31, 34, 35, 36, 40, 43, 46, 47, 49, 50, 51, 53, 60, 61, 62, 64, 66, 70, 73, 78, 79, 81, 82, 88, 89, 93, 95, 97, 99"

Trials with Mean BBot Displacement <= 0,32
Specific BBot Trial IDs,"2, 5, 14, 16, 18, 19, 22, 24, 31, 33, 39, 46, 56, 57, 58, 59, 62, 63, 67, 70, 72, 77, 80, 81, 82, 85, 87, 88, 90, 91, 98, 99"

Total Trials,100

,Mean of Pooled Rock Displacement (px),1.51
,SD of Above (px),122.39
,Mean of Intra-Run Rock Displacement (px),1.51
,SD of Above (px),28.04

,Mean of Pooled Bbot Displacements (px),19.56
,SD of Above (px),239.07
,Mean of Intra-Run Bbot Displacements (px),19.56
,SD of Above (px),32.05

,Mean of Pooled Bbot Stop Times (s),17.67
,SD of Above (s),10.91
,Mean of Intra-Run Stop Time Means (s),17.67
,SD of Above (s),1.38


Trial,Duration,Mean Rock Displacement,Rock Displacement SD,Mean BBot Displacement,BBot Displacement SD,Mean BBot Stop Time,BBot Stop SD
1,53.48,-18.78,143.41,32.31,221.28,18.21,10.82
2,45.88,-19.93,101.53,-10.52,218.33,16.54,9.98
3,50.22,-22.73,90.65,27.82,241.63,17.25,11.88
4,41.38,15.8,119.26,41.44,219.26,17.8,10.48
5,48.28,-48.12,113.25,-42.46,213.68,16.29,11.88
6,36.9,-17.07,123.8,25.68,248.64,16.36,9.78
7,39.42,-43.78,113.69,13.8,235.56,18.25,10.36
8,44.05,-19.96,119.05,21.05,250.41,17.7,10.6
9,45.45,-13.27,111.91,106.07,248.31,20.37,10.63
10,41.43,41.4,120.47,47.46,194.58,18.67,10.96
11,52.58,6.34,125.58,38.73,220.63,19.3,12.4
12,48.55,-19.14,127.17,72.97,244.35,15.53,9.83
13,38.32,-16.96,81.18,9.88,276.21,17.54,9.68
14,40.53,31.62,137.09,-18.63,252.06,16.21,8.93
15,65.98,-36.36,112.3,25.35,210.87,18.05,12.7
16,43.93,15.69,100.25,-39.21,249.19,17.27,9.33
17,56.38,16.48,133.84,35.16,252.14,17.66,11.23
18,43.75,-64.33,117.31,-25.38,225.64,16.38,11.08
19,38.53,-47.95,198.54,-10.44,287.34,18.89,10.63
20,52.07,26.07,115.49,5.3,248.87,18.41,11.5
21,57.18,-0.17,121.96,74.79,259.35,16.69,11.59
22,60.5,-15.97,141.82,-12.11,247.37,19.73,13.83
23,40.62,31.29,114.75,89.98,247.43,16.57,8.95
24,47.0,12.19,127.58,-14.52,255.42,17.95,11.93
25,53.07,29.65,66.45,82.76,202.61,18.46,11.8
26,39.63,45.36,150.91,22.05,236.48,18.27,10.3
27,46.93,-16.81,152.04,25.66,220.64,17.98,9.77
28,49.42,35.35,106.17,3.18,252.57,16.61,11.25
29,37.35,10.51,79.05,49.34,233.3,17.47,9.77
30,45.77,36.42,125.74,12.01,277.12,18.74,10.84
31,52.2,-38.25,131.29,-27.28,238.01,15.83,10.5
32,40.78,6.05,132.37,2.32,213.44,19.44,10.2
33,37.62,2.59,112.26,-11.22,289.29,14.56,10.14
34,47.87,-14.06,135.03,21.89,241.06,19.54,12.18
35,54.37,-29.17,135.1,2.53,237.24,19.74,11.45
36,47.57,-12.08,129.08,36.82,269.34,19.06,10.58
37,49.52,8.23,125.68,73.77,216.81,17.3,12.23
38,49.25,9.99,88.08,36.02,270.17,16.4,11.56
39,45.2,11.52,130.47,-17.59,224.87,16.88,9.99
40,44.1,-21.44,113.48,2.15,195.77,18.14,10.67
41,44.77,6.92,102.03,67.79,195.91,17.23,12.79
42,51.7,18.31,95.39,7.96,229.71,15.99,12.3
43,41.25,-18.75,143.15,14.89,225.69,17.65,10.13
44,45.05,38.0,126.83,29.32,230.57,19.08,10.15
45,47.45,6.2,142.67,37.34,220.44,19.47,12.69
46,44.9,-87.87,155.49,-4.98,226.0,18.55,9.72
47,36.52,-4.5,142.87,19.82,280.28,14.97,9.68
48,41.37,34.44,139.16,7.4,219.87,16.8,10.01
49,53.1,-2.79,133.87,29.41,226.31,18.82,11.44
50,52.87,-12.0,114.94,64.17,222.43,16.76,12.25
51,38.08,-15.56,112.58,75.4,230.61,15.81,7.88
52,44.0,43.58,92.21,43.31,217.15,19.65,12.32
53,36.22,-41.57,127.84,50.47,254.31,17.63,8.57
54,42.22,64.01,84.34,46.16,242.95,17.5,11.58
55,45.67,2.26,145.24,29.45,252.49,18.52,11.33
56,60.0,4.25,124.49,-1.14,274.74,17.71,11.49
57,39.48,56.46,123.11,-18.61,255.52,16.3,10.56
58,45.38,7.19,108.13,-29.74,223.66,18.31,11.41
59,39.03,50.88,104.92,-19.46,235.79,17.86,10.61
60,39.42,-46.62,135.04,7.24,251.22,17.4,10.56
61,29.95,-26.09,117.29,48.25,185.22,14.3,7.05
62,57.55,-13.48,105.46,-26.35,270.23,17.94,11.6
63,52.5,27.65,97.2,-28.47,271.87,17.27,11.77
64,47.1,-10.67,105.73,45.38,221.63,17.66,11.31
65,47.67,8.84,148.66,35.48,233.94,17.65,11.73
66,43.83,-11.25,95.99,38.28,208.85,17.02,11.34
67,52.78,17.03,132.78,-8.09,243.01,20.53,12.19
68,43.63,35.38,105.92,13.18,265.89,20.3,9.82
69,45.15,10.78,100.35,49.08,222.88,18.53,12.76
70,50.1,-26.3,93.42,-16.53,225.72,16.99,11.22
71,46.45,0.06,121.89,56.24,277.88,18.56,10.16
72,39.82,22.21,92.61,-27.95,275.21,19.89,9.96
73,42.77,-16.71,120.89,51.25,223.35,15.89,10.4
74,68.75,6.69,115.49,69.32,242.75,18.06,11.89
75,40.87,54.77,142.41,47.58,247.94,19.51,10.64
76,50.27,55.13,146.03,46.65,218.1,16.29,12.91
77,55.9,4.22,109.84,-1.37,229.67,18.67,11.78
78,48.82,-14.82,96.63,16.54,216.65,18.45,11.71
79,43.8,-6.32,96.61,0.84,181.39,16.17,9.96
80,41.0,30.76,131.76,-0.54,254.95,17.9,10.18
81,49.28,-8.89,110.0,-23.12,231.87,16.89,10.31
82,41.05,-38.97,127.92,-7.25,277.26,17.96,10.54
83,37.07,25.57,112.67,28.47,190.19,14.3,9.3
84,44.7,24.68,142.99,40.02,235.32,18.01,10.48
85,45.08,24.54,95.22,-0.84,217.9,18.35,11.63
86,47.73,16.58,118.65,7.52,251.15,17.16,11.16
87,44.88,14.28,126.02,-21.9,240.77,19.01,10.62
88,46.03,-19.24,134.41,-0.02,243.0,16.13,11.06
89,50.2,-8.56,114.55,17.84,237.31,19.79,11.22
90,41.05,0.44,98.41,-1.45,252.12,19.83,9.89
91,47.15,17.3,154.12,-22.27,284.11,16.61,12.15
92,45.68,28.78,99.39,60.15,250.85,17.4,9.63
93,42.9,-28.43,134.02,49.57,229.13,17.05,10.75
94,43.32,20.45,135.06,45.99,202.09,17.09,11.27
95,32.67,-17.35,118.63,47.65,233.33,14.71,8.46
96,44.15,18.18,143.4,46.68,215.2,16.34,10.88
97,58.37,-4.13,138.19,28.36,219.86,17.79,11.46
98,57.53,3.14,119.09,-21.93,267.78,16.27,10.0
99,45.72,-34.41,161.22,-12.28,250.75,19.45,11.08
100,55.75,9.86,110.69,20.49,264.76,18.84,13.65
