aggregate_summary.csv

Trials with Mean Rock Displacement <= 0,0
Specific Rock Trial IDs,None

Trials with Mean BBot Displacement <= 0,8
Specific BBot Trial IDs,"8, 23, 33, 37, 39, 42, 82, 88"

Total Aggregated Trials,99

,Mean of Pooled Rock Displacement (px),45.935159767164905
,SD of Above (px),65.29230258635468
,Mean of Intra-Run Rock Displacement (px),45.935159767164905
,SD of Above (px),26.516607822088115

,Mean of Pooled Bbot Displacements (px),71.49011761321216
,SD of Above (px),179.92380509326935
,Mean of Intra-Run Bbot Displacements (px),71.49011761321216
,SD of Above (px),56.39529895033942

,Mean of Pooled Bbot Stop Times (steps),913.5844444444444
,SD of Above (steps),1023.0366151724364
,Mean of Intra-Run Stop Time Means (steps),913.5844444444444
,SD of Above (steps),847.6871606597521

,Mean of Pooled Bbot Stop Times (s),15.226407407407407
,SD of Above (s),17.05061025287394
,Mean of Intra-Run Stop Time Means (s),15.226407407407407
,SD of Above (s),14.128119344329201


Trial,Duration (steps),Duration (s),Mean Rock Displacement,Rock Displacement SD,Mean BBot Displacement,BBot Displacement SD,Mean BBot Stop Time (steps),BBot Stop SD (steps),Mean BBot Stop Time (s),BBot Stop SD (s)
2,1761,29.35,69.87424546406436,95.34716371917072,79.56687271069349,175.0499235103045,856.74,614.6157854086318,14.279,10.243596423477197
3,1982,33.03333333333333,28.692262802325292,54.26775572076035,36.65655663675051,186.39745403916848,848.34,544.4328863644279,14.139,9.073881439407131
4,2306,38.43333333333333,45.13392660243363,75.56655627927658,44.524696378338355,205.41135802372392,1585.94,540.3806069874855,26.432333333333332,9.006343449791425
5,1946,32.43333333333333,27.935360992879904,40.430880711957826,95.81091272983045,173.5084613870766,691.08,582.3440612853245,11.518,9.705734354755407
6,1067,17.783333333333335,42.83741021570771,53.0976671598712,43.458383131585,181.89909817823676,389.8,286.9514642882013,6.496666666666667,4.782524404803355
7,4122,68.7,49.510067592953696,59.6120106948575,53.82976519718188,170.2124363712472,2588.96,1440.3267055690908,43.14933333333333,24.005445092818178
8,2134,35.56666666666667,19.714193276673058,43.56732502070269,-16.10397878372484,168.2568667421375,530.26,603.4744912857983,8.837666666666667,10.057908188096638
9,1218,20.3,27.599816134584245,46.34598548900113,44.709076925321575,160.70763238819816,305.42,242.16372350042818,5.090333333333334,4.03606205834047
10,1432,23.866666666666667,81.62398130424219,51.02697119342423,38.97357776760152,134.624981147608,623.52,386.89397587895905,10.392,6.448232931315984
11,5556,92.6,130.30250809497886,91.0941004560044,198.59292699567223,252.56759235104752,4527.18,760.3868159009061,75.453,12.673113598348435
