aggregate_summary.csv

Trials with Mean Rock Displacement <= 0,0
Specific Rock Trial IDs,None

Trials with Mean BBot Displacement <= 0,253
Specific BBot Trial IDs,"6, 8, 16, 26, 31, 37, 38, 44, 47, 49, 54, 56, 59, 64, 65, 66, 67, 74, 83, 95, 97, 105, 106, 108, 109, 111, 113, 114, 117, 118, 124, 127, 128, 130, 140, 166, 167, 169, 171, 172, 183, 192, 193, 194, 195, 197, 199, 202, 203, 212, 214, 215, 219, 220, 230, 238, 240, 243, 245, 249, 252, 254, 261, 271, 272, 274, 281, 282, 284, 285, 288, 289, 292, 298, 301, 304, 308, 311, 313, 321, 328, 329, 333, 338, 339, 346, 348, 353, 356, 361, 364, 368, 369, 370, 375, 379, 383, 384, 386, 391, 401, 403, 416, 421, 422, 432, 435, 436, 446, 447, 458, 464, 465, 469, 470, 472, 475, 479, 484, 488, 490, 491, 494, 496, 498, 506, 508, 509, 522, 524, 526, 527, 528, 529, 531, 533, 537, 545, 549, 553, 555, 562, 564, 566, 571, 574, 579, 584, 593, 597, 602, 605, 610, 617, 618, 621, 623, 625, 627, 631, 633, 643, 660, 667, 677, 678, 683, 691, 699, 703, 707, 712, 714, 718, 722, 726, 729, 731, 732, 733, 736, 744, 747, 750, 751, 753, 755, 759, 764, 765, 767, 773, 775, 778, 780, 783, 787, 788, 792, 797, 806, 816, 821, 827, 828, 829, 838, 839, 843, 856, 858, 862, 866, 871, 874, 880, 885, 886, 889, 890, 891, 894, 895, 896, 898, 900, 905, 907, 912, 913, 920, 922, 925, 929, 931, 932, 933, 936, 938, 945, 946, 949, 953, 959, 975, 982, 984, 989, 990, 991, 997, 999, 1000"

Total Trials,1000

,Mean of Pooled Rock Displacement (px),45.574566450863394
,SD of Above (px),64.36603241175041
,Mean of Intra-Run Rock Displacement (px),45.574566450863394
,SD of Above (px),26.065475040793636

,Mean of Pooled Bbot Displacements (px),40.36732102324606
,SD of Above (px),178.5200599425579
,Mean of Intra-Run Bbot Displacements (px),40.36732102324606
,SD of Above (px),55.319931279035956

,Mean of Pooled Bbot Stop Times (steps),802.7235
,SD of Above (steps),1062.1303641012985
,Mean of Intra-Run Stop Time Means (steps),802.7235
,SD of Above (steps),979.7670597040049

,Mean of Pooled Bbot Stop Times (s),13.378725
,SD of Above (s),17.70217273502164
,Mean of Intra-Run Stop Time Means (s),13.378725
,SD of Above (s),16.329450995066747


Trial,Duration (steps),Duration (s),Mean Rock Displacement,Rock Displacement SD,Mean BBot Displacement,BBot Displacement SD,Mean BBot Stop Time (steps),BBot Stop SD (steps),Mean BBot Stop Time (s),BBot Stop SD (s)
1,521,8.683333333333334,10.837567061057982,35.55680439987229,1.9867307981546412,136.51473862482078,277.5,135.58629302825142,4.625,2.259771550470857
2,613,10.216666666666667,21.4864731516978,42.20655816063462,0.933827366340432,146.80360151322373,253.38,166.2736728580754,4.223,2.7712278809679236
3,3089,51.483333333333334,79.53665875006219,97.51139626743839,57.27321989752093,209.53789068924954,2562.5,416.20840786258776,42.708333333333336,6.936806797709796
4,2564,42.733333333333334,91.0870271191709,83.69125005980585,118.16534172650209,226.01846324000076,1866.46,524.269723773275,31.107666666666667,8.737828729554584
5,2273,37.88333333333333,63.93318375759074,64.70429704375746,80.53041862012849,203.5961914659409,1383.48,488.7968669527835,23.058,8.146614449213057
6,565,9.416666666666666,12.044894672281844,27.33144656245769,-24.904972848111058,103.68107171485497,253.56,198.15456346097147,4.226,3.3025760576828573
7,487,8.116666666666667,13.403402629146317,29.535498620326166,27.201178493502322,156.0387462328399,155.72,106.22406814400033,2.5953333333333335,1.7704011357333387
8,1272,21.2,17.52220226725446,36.76004264506253,-11.577700859619878,164.1986122623878,652.64,357.45008271457016,10.877333333333333,5.95750137857617
9,1062,17.7,37.37281377108891,40.37422981304049,49.56089531370207,179.45877181343158,357,318.28411130655593,5.95,5.304735188442599
10,1229,20.483333333333334,42.495163156502535,74.12443181991502,97.02671878780015,143.68148453134103,481.78,342.4104405474786,8.029666666666667,5.70684067579131
11,1088,18.133333333333333,97.6358190502166,73.42349309055973,151.5007879512241,181.18170835203858,710.54,331.06070779374886,11.842333333333332,5.517678463229148
12,1844,30.733333333333334,38.47424908095631,54.100446251647085,36.333421501793644,161.2304172736623,804.68,437.2931786360641,13.411333333333333,7.288219643934402
13,2675,44.583333333333336,35.37368797458959,87.17113048694881,2.7637383649201634,202.34643033773412,1776.32,812.6519811389004,29.605333333333334,13.544199685648339
14,1004,16.733333333333334,44.86250557636594,67.14122231303975,43.48652127570512,162.97112705434793,430.06,296.37444669380864,7.167666666666666,4.939574111563478
15,2182,36.36666666666667,61.23504941157984,66.23046783516929,145.68112053675688,191.33469766940271,1278.08,658.0598831382432,21.301333333333332,10.967664718970722
16,316,5.266666666666667,6.266056368218003,21.633224325760192,-18.447621899125227,144.77160574811643,147.3,102.44326453691131,2.455,1.7073877422818553
17,913,15.216666666666667,71.2576951994134,82.4381076968955,24.94763155048945,211.23146666457473,434.52,289.25042042196884,7.242,4.820840340366147
18,1711,28.516666666666666,65.4217127902489,94.4464444388333,53.10818151399937,181.76708288908554,882.9,420.8942496491905,14.715,7.0149041608198415
19,742,12.366666666666667,45.19585613880344,36.424692127369596,38.60642810692805,168.45935519231955,349.48,256.21867573601725,5.824666666666666,4.270311262266954
20,860,14.333333333333334,35.06018625837159,48.4248667474686,35.071032361274575,151.14379387857315,560.52,220.07422124624878,9.342,3.6679036874374797
21,1844,30.733333333333334,38.70358885290223,47.317476752287384,44.75709891374602,162.91764932609743,867.24,500.8839761372093,14.454,8.348066268953488
22,1797,29.95,40.6237034285193,51.81384563574632,32.2939901796466,164.56137143689,438.62,428.96362483149016,7.310333333333333,7.149393747191503
23,875,14.583333333333334,30.474466450665748,24.343539233067727,78.43825873703283,165.49854483428155,263.46,213.41864673807254,4.391,3.5569774456345424
24,1003,16.716666666666665,69.24078633256883,58.18789032678521,55.36827829585825,206.40294486464856,612.18,208.18003295813213,10.203,3.469667215968869
25,1889,31.483333333333334,59.07077852686224,50.92464014981609,10.609908436104995,182.41776427288235,970.74,515.5659782793892,16.179,8.592766304656488
26,1393,23.216666666666665,11.356838207985078,26.544161208833007,-38.03277618104048,156.11537937080607,501.22,469.796798887453,8.353666666666667,7.829946648124217
27,1377,22.95,55.883925623497674,75.00670872344557,86.56528736257849,183.48433615196976,726.02,421.01061550434446,12.100333333333333,7.0168435917390735
28,739,12.316666666666666,30.596051366428988,54.258002361782445,8.560438130918385,141.36967653872446,401.72,194.83839876331632,6.695333333333333,3.247306646055272
29,527,8.783333333333333,31.459772657145162,33.69350042582084,9.939727757743926,179.55243583723595,188.22,128.60131240007004,3.137,2.143355206667834
30,1981,33.016666666666666,64.84779856480763,62.785089269152174,55.74509834981213,196.48516667126404,800.72,659.4329982520388,13.345333333333333,10.990549970867315
31,636,10.6,17.626286862445827,36.360724146766636,-8.566279586267049,142.4065675635556,253.74,163.05073831573446,4.229,2.7175123052622414
32,924,15.4,36.12542487093019,49.07986622861266,7.258219338365304,148.91176109952627,451.88,313.2539323335766,7.531333333333333,5.220898872226277
33,1751,29.183333333333334,58.58893767805143,99.10025239682415,5.535987291648276,163.1666484696536,907.16,478.6268351721817,15.119333333333334,7.977113919536362
34,982,16.366666666666667,43.71972674044553,40.786761085964855,56.593423921149196,205.90982434589336,436.76,330.98304784261035,7.279333333333334,5.516384130710172
35,1317,21.95,78.35787206362903,80.58725062163639,104.85859015274683,210.36379189989188,775.88,271.47485620406985,12.931333333333333,4.524580936734498
36,3131,52.18333333333333,65.63396969837471,61.47576786447662,70.73400689497426,220.10626064330566,2280.58,374.6471041567801,38.00966666666667,6.244118402613001
37,1385,23.083333333333332,23.52826772010186,39.97631827857889,-5.765572870868211,173.57463574493877,770.84,504.4209596059584,12.847333333333333,8.40701599343264
38,1012,16.866666666666667,29.736545039486664,46.37922886262923,-10.488405718785463,167.2655730958448,646.66,280.03466330627936,10.777666666666667,4.667244388437989
39,833,13.883333333333333,28.17409744450101,31.023647955671777,12.706138240469604,147.20286266960133,275.34,209.4054372332704,4.589,3.4900906205545064
40,512,8.533333333333333,7.043694035194053,25.24504738290446,6.414184393954699,155.46360372441214,174.28,140.99718335585897,2.9046666666666665,2.3499530559309827
41,964,16.066666666666666,36.559890442260105,53.0345091834845,106.874301966169,179.66667528462958,370.88,198.7938774567409,6.181333333333334,3.3132312909456814
42,1216,20.266666666666666,46.61727224876472,55.897607081039425,92.95770446115041,154.24413285073948,748.14,339.99021654591587,12.469,5.666503609098599
