Trials with Mean Rock Change <= 0,"5, 44"

Total Trials,100
Avg Sim Duration (s),14.0
Avg Net Rock Change (px),10.71
Mean of Intra-Run Bot Stop SDs (s),4.1
SD of Pooled Bot Stop Times (s),4.93
Mean of Intra-Run Rock Dist SDs (px),26.81
SD of Pooled Rock Distances (px),29.02

Trial,Duration,Avg Net Rock Change,Bot Stop SD,Rock Change SD
1,21.52,26.65,6.64,50.51
2,9.48,7.81,2.82,17.13
3,15.22,5.7,4.33,21.16
4,12.32,11.57,3.66,27.7
5,6.1,-0.45,1.84,8.26
6,19.02,15.29,6.17,49.3
7,9.72,3.1,2.78,13.68
8,10.5,5.82,3.5,18.44
9,25.97,19.54,7.07,32.11
10,10.15,3.62,3.59,18.69
11,14.1,4.87,3.96,22.17
12,9.73,14.97,2.59,40.08
13,11.5,8.14,3.06,25.4
14,8.55,2.33,2.71,13.33
15,15.22,2.94,5.03,14.42
16,7.38,10.59,2.58,22.16
17,28.0,15.9,7.32,48.94
18,11.25,21.27,3.82,47.91
19,9.6,7.23,2.09,17.67
20,20.98,27.7,5.82,50.45
21,5.15,7.6,1.26,17.03
22,9.43,12.72,2.74,24.62
23,18.77,7.23,4.92,18.2
24,11.97,8.06,3.66,27.84
25,6.15,0.65,1.91,14.34
26,11.52,19.87,3.67,46.02
27,6.7,14.2,2.0,23.42
28,8.67,1.89,2.66,14.9
29,6.65,12.29,1.79,30.27
30,19.87,4.17,6.26,18.89
31,7.57,8.14,1.93,20.61
32,11.78,2.66,3.03,25.76
33,9.5,7.29,3.44,24.67
34,20.13,7.5,5.73,21.12
35,13.17,17.84,4.57,28.83
36,14.57,6.71,4.37,36.25
37,16.87,9.6,5.54,20.98
38,10.55,6.76,2.72,19.39
39,19.4,18.21,5.38,30.53
40,12.47,1.41,3.4,22.18
41,15.37,8.57,3.39,23.31
42,11.65,16.24,3.49,34.51
43,12.0,20.02,4.02,39.23
44,10.05,-0.25,2.22,8.79
45,17.38,5.31,3.82,17.27
46,18.55,4.13,6.36,15.19
47,14.15,15.05,2.94,26.59
48,10.38,3.34,3.1,12.63
49,21.88,9.36,7.06,28.38
50,22.32,19.7,5.09,38.64
51,23.1,16.74,8.96,30.59
52,10.17,14.11,3.54,30.54
53,9.88,13.45,3.04,27.48
54,10.2,18.38,2.52,39.52
55,10.72,7.71,2.96,23.59
56,10.88,4.98,2.75,23.27
57,12.67,24.82,3.56,43.27
58,14.15,7.43,3.44,23.41
59,28.67,18.72,10.46,41.4
60,38.88,16.33,13.6,25.31
61,30.08,22.53,7.26,55.92
62,8.2,0.2,2.4,16.86
63,13.03,18.49,3.9,37.51
64,17.4,11.26,5.83,36.4
65,14.78,5.96,3.86,34.82
66,11.35,3.4,3.26,18.35
67,4.83,2.47,1.73,16.76
68,13.82,12.77,3.57,23.4
69,24.28,14.5,5.92,28.33
70,22.2,10.52,5.74,29.16
71,21.85,6.93,7.4,24.72
72,7.38,12.06,2.26,35.67
73,11.02,8.75,3.57,35.33
74,9.0,14.32,2.47,31.71
75,5.55,3.44,1.69,22.77
76,10.7,13.56,3.35,36.45
77,21.28,17.63,6.13,28.85
78,9.1,7.57,2.0,12.67
79,9.6,10.39,2.85,24.3
80,12.6,19.04,3.88,35.86
81,9.1,13.79,2.88,21.22
82,9.98,4.22,2.72,12.83
83,15.23,20.77,4.95,39.27
84,18.98,17.82,5.98,30.48
85,8.95,2.36,2.19,21.93
86,19.8,21.7,5.26,42.48
87,8.97,12.3,2.18,19.85
88,13.02,15.37,3.7,42.18
89,15.08,19.17,5.15,35.8
90,15.15,7.01,4.76,29.83
91,12.75,11.12,4.58,19.4
92,19.12,3.07,5.78,10.78
93,18.78,16.33,4.43,30.46
94,10.2,6.38,2.42,20.97
95,20.28,8.4,5.54,21.01
96,14.22,11.12,4.8,27.17
97,12.27,7.21,3.26,18.84
98,12.02,5.61,3.52,14.78
99,13.05,7.34,3.36,15.88
100,15.08,10.33,4.31,21.6
