--- TRIAL 1 ROCK DATA ---
Rock ID,Start Dist (px),End Dist (px),Net Displacement (px)
1,661.84,665.52,3.68
2,517.78,678.7,160.91
3,525.02,600.81,75.78
4,222.89,222.89,0.0
5,382.15,509.37,127.21
6,512.04,567.85,55.8
7,574.6,570.04,-4.56
8,399.44,399.78,0.34
9,446.23,508.46,62.23
10,140.25,139.18,-1.07
11,520.87,527.72,6.85
12,233.45,255.79,22.34
13,597.34,612.24,14.9
14,631.66,634.75,3.08
15,502.73,516.56,13.82
16,408.21,516.44,108.23
17,718.48,724.46,5.98
18,478.53,473.41,-5.12
19,259.94,259.94,0.0
20,652.01,662.84,10.83

--- TRIAL 1 BOT DATA ---
Bot ID,Stop Time (sec)
1,0.53
2,0.03
3,6.45
4,4.12
5,4.83
6,0.08
7,0.02
8,11.68
9,0.02
10,2.95
11,10.88
12,8.48
13,10.87
14,3.78
15,7.0
16,27.92
17,0.02
18,6.45
19,8.73
20,9.77
21,8.72
22,8.42
23,0.23
24,0.55
25,4.93
26,3.1
27,0.02
28,7.07
29,3.22
30,4.82
31,7.0
32,0.62
33,1.6
34,11.45
35,3.22
36,1.03
37,8.52
38,0.27
39,7.77
40,3.6
41,1.43
42,0.13
43,2.92
44,7.68
45,3.35
46,8.52
47,3.28
48,9.18
49,8.92
50,3.05
