--- TRIAL 1 ROCK DATA ---
Rock ID,Start Dist (px),End Dist (px),Net Displacement (px)
1,381.39,496.77,115.38
2,583.36,648.0,64.63
3,250.51,315.39,64.88
4,474.09,526.75,52.66
5,665.18,683.63,18.45
6,284.08,396.16,112.08
7,251.88,365.17,113.28
8,351.88,469.17,117.28
9,468.15,488.99,20.83
10,115.52,202.24,86.72
11,502.0,484.1,-17.9
12,536.08,628.4,92.32
13,173.67,289.6,115.93
14,430.26,514.62,84.35
15,71.01,158.25,87.24
16,619.6,717.39,97.78
17,546.3,593.7,47.41
18,607.01,672.08,65.06
19,351.44,358.4,6.97
20,405.09,391.18,-13.91

--- TRIAL 1 BOT DATA ---
Bot ID,Stop Time (sec)
1,34.2
2,18.23
3,28.65
4,31.63
5,30.2
6,34.88
7,27.42
8,23.67
9,22.83
10,18.03
11,30.95
12,27.42
13,24.92
14,27.42
15,15.68
16,24.55
17,30.2
18,16.35
19,24.58
20,26.75
21,12.78
22,17.72
23,8.3
24,27.43
25,12.87
26,29.53
27,27.42
28,24.78
29,26.22
30,14.5
31,15.57
32,16.28
33,27.6
34,18.18
35,19.37
36,30.2
37,28.02
38,29.13
39,25.0
40,27.82
41,30.73
42,28.5
43,30.78
44,25.73
45,20.93
46,17.35
47,17.67
48,17.28
49,24.5
50,32.52
