--- TRIAL 1 ROCK DATA ---
Rock ID,Start Dist (px),End Dist (px),Net Displacement (px)
1,457.54,505.43,47.89
2,649.84,674.27,24.43
3,604.11,646.77,42.66
4,439.51,432.99,-6.52
5,320.16,391.9,71.75
6,507.7,596.35,88.64
7,47.01,103.44,56.43
8,501.15,513.66,12.51
9,299.53,366.85,67.32
10,261.18,317.6,56.43
11,519.34,503.87,-15.47
12,502.93,610.12,107.19
13,352.85,351.53,-1.32
14,618.05,634.29,16.24
15,637.91,637.91,0.0
16,465.75,463.31,-2.44
17,254.01,352.99,98.98
18,469.32,465.67,-3.65
19,491.35,578.59,87.24
20,448.95,541.61,92.66

--- TRIAL 1 BBOT DATA ---
BBot ID,Stop Time (sec),Start Dist (px),End Dist (px),Net Displacement (px)
1,11.52,508.31,405.07,-103.24
2,6.28,214.65,423.04,208.39
3,13.05,304.68,512.57,207.89
4,4.22,567.55,497.18,-70.38
5,10.85,457.7,524.89,67.18
6,11.77,191.75,613.97,422.22
7,11.77,229.26,621.94,392.68
8,4.05,46.41,333.86,287.45
9,13.13,389.15,610.9,221.75
10,4.33,499.5,401.43,-98.07
11,3.73,677.94,728.19,50.25
12,4.23,600.98,666.67,65.68
13,9.7,522.73,499.83,-22.9
14,4.17,411.7,496.75,85.04
15,6.0,476.43,534.72,58.29
16,1.47,759.5,697.95,-61.55
17,0.97,732.83,682.85,-49.98
18,2.37,297.25,349.74,52.49
19,3.1,561.7,565.9,4.21
20,6.63,88.13,392.82,304.69
21,12.87,558.59,659.78,101.19
22,4.03,662.57,709.36,46.8
23,10.3,128.15,435.68,307.53
24,5.0,544.04,385.84,-158.2
25,11.78,482.37,564.3,81.93
26,10.6,220.48,425.32,204.85
27,9.58,536.05,490.31,-45.74
28,4.23,411.98,334.09,-77.89
29,11.83,568.83,564.59,-4.24
30,0.02,485.81,481.43,-4.38
31,3.98,634.19,667.47,33.28
32,0.52,385.29,476.06,90.77
33,7.97,152.94,147.75,-5.19
34,10.97,91.53,382.25,290.72
35,10.98,520.36,567.6,47.25
36,3.08,730.72,729.0,-1.72
37,4.82,689.06,708.87,19.81
38,0.57,731.82,696.49,-35.32
39,0.02,486.2,483.2,-3.0
40,10.28,462.65,525.67,63.01
41,3.92,386.58,461.55,74.97
42,10.6,724.49,499.46,-225.04
43,12.37,420.79,713.82,293.02
44,14.4,491.24,458.2,-33.05
45,6.22,221.06,570.93,349.88
46,11.62,614.24,456.76,-157.48
47,16.22,331.7,170.4,-161.3
48,11.37,368.83,742.6,373.78
49,11.72,101.28,502.06,400.78
50,0.73,236.99,140.67,-96.32
