--- TRIAL 1 ROCK DATA ---
Rock ID,Start Dist (px),End Dist (px),Net Displacement (px)
1,602.91,627.32,24.41
2,366.64,394.18,27.53
3,538.7,556.55,17.85
4,77.08,280.08,203.0
5,476.71,450.83,-25.88
6,285.2,286.58,1.37
7,380.59,418.15,37.56
8,610.0,610.0,-0.01
9,471.56,543.03,71.47
10,317.99,439.4,121.41
11,515.61,545.88,30.27
12,501.81,455.42,-46.39
13,549.52,500.98,-48.54
14,556.79,522.65,-34.14
15,360.77,417.5,56.74
16,165.52,170.92,5.4
17,427.1,443.99,16.89
18,520.01,503.54,-16.47
19,123.07,123.07,0.0
20,360.18,329.01,-31.17

--- TRIAL 1 BBOT DATA ---
BBot ID,Stop Time (sec),Start Dist (px),End Dist (px),Net Displacement (px)
1,1.05,502.99,601.44,98.45
2,11.52,161.1,463.89,302.79
3,11.32,574.21,474.43,-99.78
4,1.92,493.82,650.31,156.5
5,1.9,448.34,593.76,145.42
6,3.55,416.59,475.05,58.46
7,0.62,642.4,652.0,9.61
8,2.63,143.16,363.57,220.41
9,11.0,448.38,463.84,15.45
10,3.2,510.86,582.94,72.09
11,6.78,464.67,582.75,118.08
12,10.55,524.67,683.6,158.93
13,9.73,79.53,692.69,613.15
14,9.5,537.47,579.83,42.36
15,8.0,513.53,567.55,54.02
16,2.03,422.35,425.1,2.75
17,4.42,387.94,176.98,-210.96
18,6.28,757.4,662.13,-95.28
19,4.28,282.35,206.83,-75.52
20,0.45,484.48,474.56,-9.92
21,8.18,557.67,481.74,-75.93
22,4.28,382.93,216.21,-166.71
23,0.95,196.35,202.27,5.91
24,6.67,764.51,645.1,-119.41
25,0.02,163.57,163.57,0.0
26,0.52,727.79,685.52,-42.26
27,8.9,548.78,579.9,31.12
28,2.0,550.42,447.26,-103.16
29,1.97,269.18,362.93,93.74
30,7.28,665.78,505.31,-160.47
31,8.2,211.42,231.14,19.72
32,0.07,678.68,668.75,-9.93
33,4.2,249.13,215.35,-33.78
34,13.23,322.85,566.52,243.67
35,9.2,513.23,484.65,-28.58
36,13.25,580.03,571.23,-8.81
37,2.63,325.84,366.33,40.49
38,3.83,346.53,484.36,137.83
39,2.02,459.14,655.66,196.51
40,11.22,272.14,464.71,192.57
41,11.27,470.93,472.66,1.73
42,4.93,442.23,676.28,234.05
43,2.9,500.05,596.23,96.18
44,0.85,320.69,202.39,-118.3
45,9.57,568.19,577.59,9.39
46,2.35,347.1,189.86,-157.23
47,7.18,650.38,143.41,-506.97
48,3.07,322.66,582.83,260.17
49,9.67,583.94,577.58,-6.36
50,6.47,471.39,697.0,225.61
