Group,Final_Clustering_Score,Delta_Score
Active (Stigmergic),0.49871299871299873,0.18339768339768342
Active (Stigmergic),0.5142857142857142,0.19350649350649346
Active (Stigmergic),0.5326370757180157,0.21736292428198434
Active (Stigmergic),0.5493589743589744,0.23269230769230775
Active (Stigmergic),0.5088315217391305,0.21942934782608703
Active (Stigmergic),0.508736559139785,0.196236559139785
Active (Stigmergic),0.5202702702702703,0.20472972972972975
Active (Stigmergic),0.5095890410958904,0.20616438356164385
Active (Stigmergic),0.5245683930942895,0.20584329349269587
Active (Stigmergic),0.5103021978021978,0.24038461538461536
Active (Stigmergic),0.509009009009009,0.19433719433719437
Active (Stigmergic),0.5124826629680999,0.2260748959778086
Active (Stigmergic),0.4948186528497409,0.19106217616580307
Active (Stigmergic),0.4960369881109643,0.18494055482166444
Active (Stigmergic),0.4699599465954606,0.17690253671562078
Active (Stigmergic),0.5334190231362468,0.2339331619537275
Active (Stigmergic),0.5095108695652174,0.22146739130434784
Active (Stigmergic),0.5041095890410959,0.20547945205479456
Active (Stigmergic),0.5089285714285714,0.20854591836734693
Active (Stigmergic),0.5026525198938993,0.20623342175066317
Active (Stigmergic),0.5071123755334281,0.21621621621621617
Active (Stigmergic),0.49449035812672176,0.22176308539944906
Active (Stigmergic),0.5161943319838057,0.2219973009446694
Active (Stigmergic),0.505859375,0.22591145833333331
Active (Stigmergic),0.5007012622720898,0.22580645161290325
Active (Stigmergic),0.5082758620689655,0.2137931034482758
Active (Stigmergic),0.49735099337748345,0.20860927152317882
Active (Stigmergic),0.518170426065163,0.19047619047619052
Active (Stigmergic),0.529113924050633,0.20696202531645574
Active (Stigmergic),0.5061898211829436,0.21320495185694638
Active (Stigmergic),0.48743016759776536,0.2122905027932961
Active (Stigmergic),0.5137614678899083,0.21690694626474444
Active (Stigmergic),0.5309065934065934,0.2190934065934066
Active (Stigmergic),0.5107816711590296,0.22843665768194066
Active (Stigmergic),0.476,0.17533333333333329
Active (Stigmergic),0.488296488946684,0.16319895968790638
Active (Stigmergic),0.5117241379310344,0.21586206896551718
Active (Stigmergic),0.4899732620320856,0.18382352941176472
Active (Stigmergic),0.47889374090247455,0.2285298398835517
Active (Stigmergic),0.5134770889487871,0.20687331536388143
Active (Stigmergic),0.5321917808219178,0.22123287671232872
Active (Stigmergic),0.5013477088948787,0.19811320754716977
Active (Stigmergic),0.5006648936170213,0.2074468085106383
Active (Stigmergic),0.480718085106383,0.18018617021276595
Active (Stigmergic),0.4993421052631579,0.20394736842105265
Active (Stigmergic),0.5128369704749679,0.19448010269576377
Active (Stigmergic),0.4892328398384926,0.2079407806191117
Active (Stigmergic),0.48667601683029454,0.2082748948106592
Active (Stigmergic),0.5226683937823834,0.21049222797927458
Active (Stigmergic),0.4884559884559885,0.19191919191919193
Active (Stigmergic),0.504654255319149,0.19148936170212771
Active (Stigmergic),0.4944055944055944,0.1944055944055944
Active (Stigmergic),0.5033921302578019,0.21166892808683857
Active (Stigmergic),0.5170380078636959,0.20838794233289643
Active (Stigmergic),0.4782312925170068,0.19047619047619047
Active (Stigmergic),0.5215189873417722,0.19746835443037974
Active (Stigmergic),0.529689608636977,0.23346828609986497
Active (Stigmergic),0.5113788487282463,0.20348058902275773
Active (Stigmergic),0.49747474747474746,0.17108585858585856
Active (Stigmergic),0.49731543624161073,0.19865771812080535
Active (Stigmergic),0.5,0.19518377693282635
Active (Stigmergic),0.4993421052631579,0.20394736842105265
Active (Stigmergic),0.5242587601078167,0.2055256064690027
Active (Stigmergic),0.49859353023909986,0.22362869198312235
Active (Stigmergic),0.506765899864682,0.20906630581867391
Active (Stigmergic),0.4908972691807542,0.1853055916775032
