aggregate_summary.csv

Number of Trials with Mean Rock Displacement <= 0,1
Specific Trials with Mean Rock Displacement <= 0,417

Number of Trials with Mean BBot Displacement <= 0,95
Specific Trials with Mean BBot Displacement <= 0,"3, 7, 9, 12, 48, 49, 91, 105, 137, 149, 152, 153, 171, 196, 206, 218, 225, 228, 240, 242, 252, 259, 271, 275, 276, 286, 307, 322, 334, 336, 341, 346, 351, 361, 371, 413, 423, 432, 439, 472, 475, 480, 498, 507, 518, 526, 532, 533, 543, 553, 566, 579, 599, 604, 606, 617, 626, 650, 652, 676, 698, 699, 707, 719, 720, 721, 722, 729, 731, 754, 761, 774, 778, 786, 787, 794, 805, 815, 821, 822, 827, 865, 873, 883, 897, 917, 933, 945, 949, 959, 961, 967, 971, 972, 983"

Total Trials,1000

,Mean of Pooled Rock Displacement (px),46.47
,SD of Above (px),64.3
,Mean of Intra-Run Rock Displacement (px),46.47
,SD of Above (px),26.2

,Mean of Pooled Bbot Displacements (px),71.16
,SD of Above (px),174.74
,Mean of Intra-Run Bbot Displacements (px),71.16
,SD of Above (px),55.0

,Mean of Pooled Bbot Stop Times (s),14.16
,SD of Above (s),15.12
,Mean of Intra-Run Stop Time Means (s),14.16
,SD of Above (s),11.71


Trial,Duration,Mean Rock Displacement,Rock Displacement SD,Mean BBot Displacement,BBot Displacement SD,Mean BBot Stop Time,BBot Stop SD
1,19.03,51.35,53.07,22.01,185.63,6.13,4.49
2,19.62,27.65,54.03,41.17,144.01,8.04,5.11
3,16.07,3.68,23.11,-2.01,121.87,4.2,3.86
4,60.9,57.15,52.34,65.94,158.9,19.93,14.63
5,46.85,67.38,75.97,95.37,174.93,28.59,13.67
6,13.15,45.46,50.24,70.93,151.04,5.52,3.21
7,26.83,27.83,42.55,-2.34,178.12,14.47,9.65
8,14.17,23.9,26.15,11.89,179.92,5.48,4.3
9,15.4,22.31,42.61,-7.94,189.06,6.68,4.41
10,26.57,43.83,52.77,113.35,206.9,11.79,5.78
11,24.18,58.28,79.67,47.19,203.48,12.76,6.75
12,39.5,52.65,38.35,-8.95,164.36,14.5,13.61
13,9.02,5.71,23.76,10.99,135.75,3.06,2.12
14,44.78,81.47,73.09,135.9,141.56,22.29,14.11
15,30.55,68.8,74.92,90.06,151.18,18.01,8.23
16,40.33,34.16,42.14,44.04,158.98,12.45,9.0
17,36.47,86.49,97.17,121.62,175.84,21.37,10.47
18,63.45,104.21,133.37,151.5,176.64,28.58,11.57
19,29.87,31.19,53.95,69.5,150.65,8.16,6.59
20,37.55,85.58,84.01,96.68,192.15,23.32,10.09
21,23.25,47.88,67.58,94.15,170.23,8.94,6.04
22,21.95,11.53,32.74,21.78,145.81,6.0,5.71
23,39.98,33.24,53.51,67.01,155.97,11.37,14.75
24,33.6,46.95,62.26,68.26,151.22,19.38,10.5
25,17.23,21.65,28.39,14.22,147.27,5.68,5.0
26,22.13,30.07,30.11,54.33,170.16,7.08,6.27
