--- TRIAL 1 ROCK DATA ---
Rock ID,Start Dist (px),End Dist (px),Net Displacement (px)
1,239.77,281.38,41.62
2,412.84,502.1,89.26
3,509.49,522.11,12.61
4,391.34,510.16,118.82
5,608.55,620.55,12.01
6,153.53,248.79,95.27
7,680.65,701.95,21.3
8,120.11,159.1,39.0
9,525.38,555.2,29.82
10,313.39,522.14,208.75
11,399.79,464.82,65.03
12,583.09,592.17,9.09
13,115.11,237.19,122.08
14,307.63,307.63,0.0
15,395.7,423.48,27.78
16,202.04,225.59,23.55
17,369.24,414.93,45.69
18,495.27,485.78,-9.49
19,497.15,558.05,60.91
20,393.95,407.92,13.97

--- TRIAL 1 BBOT DATA ---
BBot ID,Stop Time (sec),Start Dist (px),End Dist (px),Net Displacement (px)
1,1.52,584.43,600.27,15.85
2,4.83,712.15,626.83,-85.31
3,10.72,201.99,287.23,85.24
4,11.02,493.72,516.8,23.08
5,1.23,712.46,728.16,15.7
6,3.42,589.1,368.37,-220.73
7,10.93,213.22,266.12,52.9
8,11.02,181.0,549.5,368.49
9,6.85,255.58,564.96,309.39
10,0.02,372.76,372.76,0.0
11,4.6,602.82,625.73,22.91
12,10.98,367.89,189.12,-178.77
13,6.7,377.41,487.36,109.95
14,3.9,464.13,344.69,-119.45
15,0.4,484.79,544.28,59.49
16,1.02,536.65,375.01,-161.63
17,0.02,719.15,725.96,6.81
18,3.52,607.7,374.12,-233.57
19,4.1,552.35,565.02,12.67
20,18.77,89.95,540.46,450.51
21,1.73,76.93,321.56,244.63
22,5.78,721.2,371.34,-349.86
23,10.67,536.24,560.66,24.42
24,5.65,635.59,435.32,-200.27
25,2.38,144.28,348.4,204.12
26,2.6,432.36,311.84,-120.52
27,1.67,630.68,644.78,14.1
28,3.63,522.06,725.53,203.47
29,11.02,236.78,541.18,304.4
30,5.68,575.26,486.6,-88.66
31,3.45,435.62,678.77,243.16
32,4.23,117.69,627.75,510.06
33,3.2,435.52,448.28,12.77
34,4.12,517.33,540.83,23.5
35,3.53,290.67,566.54,275.87
36,6.38,579.88,347.35,-232.53
37,11.12,111.83,286.91,175.08
38,0.02,644.3,652.12,7.82
39,11.82,232.17,304.68,72.51
40,11.25,284.21,217.38,-66.82
41,6.0,593.67,344.64,-249.03
42,11.25,301.06,199.21,-101.85
43,5.22,753.24,643.49,-109.75
44,7.82,542.23,567.12,24.89
45,6.77,366.17,495.52,129.36
46,2.0,643.36,508.49,-134.88
47,6.77,555.11,464.64,-90.47
48,19.03,504.35,546.52,42.16
49,5.22,560.09,513.75,-46.34
50,10.78,442.05,287.53,-154.52
